,region_name,indicator,year,value
168,California,AAF,1990,16834515.0
169,California,AAH,1990,
170,California,AAI,1990,
171,California,AAQ,1990,31863.0
172,California,AAG,1990,
173,California,AAK,1990,643954932.0
174,California,AAL,1990,21494.0
175,California,AAM,1990,560852547.0
176,California,AAN,1990,18720.0
177,California,ABA,1990,
178,California,ABB,1990,1045.2
179,California,ABK,1990,
180,California,ABL,1990,
181,California,ABM,1990,
182,California,ABN,1990,
183,California,ABO,1990,
184,California,ABP,1990,
185,California,ABQ,1990,221.012
186,California,ABR,1990,179.579
187,California,ABS,1990,15.2239
188,California,ABT,1990,
189,California,ABU,1990,
190,California,ABV,1990,4950474.0
191,California,ABW,1990,4893341.0
192,California,ABX,1990,
193,California,ABY,1990,
194,California,ABZ,1990,236291.0
195,California,ACA,1990,4390.820552
196,California,ACB,1990,
197,California,ACD,1990,
198,Colorado,AAC,1990,
199,Colorado,AAD,1990,
200,Colorado,AAE,1990,
201,Colorado,AAF,1990,2039626.0
202,Colorado,AAH,1990,
203,Colorado,AAI,1990,
204,Colorado,AAQ,1990,27394.0
205,Colorado,AAG,1990,
206,Colorado,AAK,1990,64865685.0
207,Colorado,AAL,1990,19611.0
208,Colorado,AAM,1990,56985167.0
209,Colorado,AAN,1990,17228.0
210,Colorado,ABA,1990,
211,Colorado,ABB,1990,526.0
212,Colorado,ABK,1990,
213,Colorado,ABL,1990,
214,Colorado,ABM,1990,
215,Colorado,ABN,1990,
216,Colorado,ABO,1990,
217,Colorado,ABP,1990,
218,Colorado,ABQ,1990,
219,Colorado,ABR,1990,104.758
220,Colorado,ABS,1990,1.6628
221,Colorado,ABT,1990,
222,Colorado,ABU,1990,
223,Colorado,ABV,1990,574213.0
224,Colorado,ABW,1990,519419.0
225,Colorado,ABX,1990,
226,Colorado,ABY,1990,
227,Colorado,ABZ,1990,32967.0
228,Colorado,ACA,1990,4720.338082
229,Colorado,ACB,1990,
230,Colorado,ACD,1990,
231,Connecticut,AAC,1990,
232,Connecticut,AAD,1990,
233,Connecticut,AAE,1990,
234,Connecticut,AAF,1990,2003473.0
235,Connecticut,AAH,1990,
236,Connecticut,AAI,1990,
237,Connecticut,AAQ,1990,34314.0
238,Connecticut,AAG,1990,
239,Connecticut,AAK,1990,86968737.0
240,Connecticut,AAL,1990,26418.0
241,Connecticut,AAM,1990,75817450.0
242,Connecticut,AAN,1990,23031.0
243,Connecticut,ABA,1990,
244,Connecticut,ABB,1990,553.7
245,Connecticut,ABK,1990,
246,Connecticut,ABL,1990,
247,Connecticut,ABM,1990,
248,Connecticut,ABN,1990,
249,Connecticut,ABO,1990,
250,Connecticut,ABP,1990,
251,Connecticut,ABQ,1990,99.6669
252,Connecticut,ABR,1990,250.944
253,Connecticut,ABS,1990,26.5495
254,Connecticut,ABT,1990,
255,Connecticut,ABU,1990,
256,Connecticut,ABV,1990,469123.0
257,Connecticut,ABW,1990,439524.0
258,Connecticut,ABX,1990,
259,Connecticut,ABY,1990,
260,Connecticut,ABZ,1990,27878.0
261,Connecticut,ACA,1990,7836.9318
262,Connecticut,ACB,1990,
263,Connecticut,ACD,1990,
264,Delaware,AAC,1990,
265,Delaware,AAD,1990,
266,Delaware,AAE,1990,
267,Delaware,AAF,1990,420105.0
268,Delaware,AAH,1990,
269,Delaware,AAI,1990,
270,Delaware,AAQ,1990,29830.0
271,Delaware,AAG,1990,
272,Delaware,AAK,1990,14403323.0
273,Delaware,AAL,1990,21511.0
274,Delaware,AAM,1990,12425158.0
275,Delaware,AAN,1990,18557.0
276,Delaware,ABA,1990,
277,Delaware,ABB,1990,655.2
278,Delaware,ABK,1990,
279,Delaware,ABL,1990,
280,Delaware,ABM,1990,
281,Delaware,ABN,1990,
282,Delaware,ABO,1990,
283,Delaware,ABP,1990,
284,Delaware,ABQ,1990,73.1816
285,Delaware,ABR,1990,503.758
286,Delaware,ABS,1990,28.3765
287,Delaware,ABT,1990,
288,Delaware,ABU,1990,
289,Delaware,ABV,1990,99658.0
290,Delaware,ABW,1990,89838.0
291,Delaware,ABX,1990,
292,Delaware,ABY,1990,
293,Delaware,ABZ,1990,5550.0
294,Delaware,ACA,1990,5798.805193
295,Delaware,ACB,1990,
296,Delaware,ACD,1990,
297,District of Columbia,AAC,1990,
298,District of Columbia,AAD,1990,
299,District of Columbia,AAF,1990,773211.0
300,District of Columbia,AAH,1990,
301,District of Columbia,AAI,1990,
302,District of Columbia,AAQ,1990,40787.0
303,District of Columbia,AAG,1990,
304,District of Columbia,AAK,1990,15575579.0
305,District of Columbia,AAL,1990,25731.0
306,District of Columbia,AAM,1990,13382376.0
307,District of Columbia,AAN,1990,22108.0
308,District of Columbia,ABA,1990,
309,District of Columbia,ABB,1990,2458.2
310,District of Columbia,ABK,1990,
311,District of Columbia,ABL,1990,
312,District of Columbia,ABM,1990,
313,District of Columbia,ABN,1990,
314,District of Columbia,ABO,1990,
315,District of Columbia,ABP,1990,
316,District of Columbia,ABQ,1990,80.1228
317,District of Columbia,ABR,1990,2425.99
318,District of Columbia,ABS,1990,188.165
319,District of Columbia,ABT,1990,
320,District of Columbia,ABU,1990,
321,District of Columbia,ABV,1990,80694.0
322,District of Columbia,ABW,1990,71468.0
323,District of Columbia,ABX,1990,
324,District of Columbia,ABY,1990,
325,District of Columbia,ABZ,1990,3626.0
326,District of Columbia,ACA,1990,8954.814971
327,Florida,AAC,1990,
328,Florida,AAD,1990,
329,Florida,AAE,1990,
330,Florida,AAF,1990,6740289.0
331,Florida,AAH,1990,
332,Florida,AAI,1990,
333,Florida,AAQ,1990,26072.0
334,Florida,AAG,1990,
335,Florida,AAK,1990,260093568.0
336,Florida,AAL,1990,19956.0
337,Florida,AAM,1990,233392282.0
338,Florida,AAN,1990,17907.0
339,Florida,ABA,1990,
340,Florida,ABB,1990,1244.3
341,Florida,ABK,1990,
342,Florida,ABL,1990,
343,Florida,ABM,1990,
344,Florida,ABN,1990,
345,Florida,ABO,1990,
346,Florida,ABP,1990,
347,Florida,ABQ,1990,0.1228
348,Florida,ABR,1990,336.952
349,Florida,ABS,1990,39.6369
350,Florida,ABT,1990,
351,Florida,ABU,1990,
352,Florida,ABV,1990,1861592.0
353,Florida,ABW,1990,1646583.0
354,Florida,ABX,1990,
355,Florida,ABY,1990,
356,Florida,ABZ,1990,88934.0
357,Florida,ACA,1990,4997.337512
358,Florida,ACB,1990,
359,Florida,ACD,1990,
360,Georgia,AAC,1990,
361,Georgia,AAD,1990,
362,Georgia,AAE,1990,
363,Georgia,AAF,1990,3663988.0
364,Georgia,AAH,1990,
365,Georgia,AAI,1990,
366,Georgia,AAQ,1990,26395.0
367,Georgia,AAG,1990,
368,Georgia,AAK,1990,115537974.0
369,Georgia,AAL,1990,17741.0
370,Georgia,AAM,1990,101542574.0
371,Georgia,AAN,1990,15592.0
372,Georgia,ABA,1990,
373,Georgia,ABB,1990,756.3
374,Georgia,ABK,1990,
375,Georgia,ABL,1990,
376,Georgia,ABM,1990,
377,Georgia,ABN,1990,
378,Georgia,ABO,1990,
379,Georgia,ABP,1990,
380,Georgia,ABQ,1990,100.129
381,Georgia,ABR,1990,752.664
382,Georgia,ABS,1990,61.3273
383,Georgia,ABT,1990,
384,Georgia,ABU,1990,
385,Georgia,ABV,1990,1151687.0
386,Georgia,ABW,1990,1054097.0
387,Georgia,ABX,1990,
388,Georgia,ABY,1990,
389,Georgia,ABZ,1990,56605.0
390,Georgia,ACA,1990,4274.712464
391,Georgia,ACB,1990,
392,Georgia,ACD,1990,
393,Hawaii,AAC,1990,
394,Hawaii,AAD,1990,
395,Hawaii,AAE,1990,
396,Hawaii,AAF,1990,724262.0
397,Hawaii,AAH,1990,
398,Hawaii,AAI,1990,
399,Hawaii,AAQ,1990,28896.0
400,Hawaii,AAG,1990,
401,Hawaii,AAK,1990,24931086.0
402,Hawaii,AAL,1990,22390.0
403,Hawaii,AAM,1990,21675814.0
404,Hawaii,AAN,1990,19467.0
405,Hawaii,ABA,1990,
406,Hawaii,ABB,1990,280.9
407,Hawaii,ABK,1990,
408,Hawaii,ABL,1990,
409,Hawaii,ABM,1990,
410,Hawaii,ABN,1990,
411,Hawaii,ABO,1990,
412,Hawaii,ABP,1990,
413,Hawaii,ABQ,1990,147.195
414,Hawaii,ABR,1990,54.2438
415,Hawaii,ABS,1990,0.8981
416,Hawaii,ABT,1990,
417,Hawaii,ABU,1990,
418,Hawaii,ABV,1990,171708.0
419,Hawaii,ABW,1990,157360.0
420,Hawaii,ABX,1990,
421,Hawaii,ABY,1990,
422,Hawaii,ABZ,1990,10325.0
423,Hawaii,ACA,1990,4448.477383
424,Hawaii,ACB,1990,
425,Hawaii,ACD,1990,
426,Idaho,AAC,1990,
427,Idaho,AAD,1990,
428,Idaho,AAE,1990,
429,Idaho,AAF,1990,548397.0
430,Idaho,AAH,1990,
431,Idaho,AAI,1990,
432,Idaho,AAQ,1990,23262.0
433,Idaho,AAG,1990,
