STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,TOTAL_KNOWN_EXPENDITURE,UNKNOWN_EXPENDITURE,REV_PER_ENROLL
Mississippi,2014,492421.0,4480105,664697,2243098,1572310,4463078,2279076,1521319,287150.0,316494,4404039.0,59039.0,9.098119292231647
Missouri,2014,892992.0,10256615,895743,4267069,5093803,10324249,5243167,3183894,577580.0,919482,9924123.0,400126.0,11.485674003798467
Montana,2014,144034.0,1729712,201528,822788,705396,1754324,949120,570780,77193.0,121753,1718846.0,35478.0,12.009053417942985
Nebraska,2014,307398.0,4005091,318179,1283012,2403900,4008633,2371149,1059275,175887.0,307828,3914139.0,94494.0,13.029007996148316
Nevada,2014,435765.0,4203255,381596,2651854,1169805,4043820,2104452,1413964,170754.0,161354,3850524.0,193296.0,9.645692058793157
New Hampshire,2014,184846.0,3042994,161989,1003995,1877010,2960615,1682021,913353,75750.0,87603,2758727.0,201888.0,16.46231998528505
New Jersey,2014,1335350.0,28454548,1142878,11047025,16264645,27742203,14956606,9205196,1273398.0,895858,26331058.0,1411145.0,21.308681619051185
New Mexico,2014,326637.0,3601387,466320,2505492,629575,3576216,1709599,1088329,147184.0,562323,3507435.0,68781.0,11.02565539115287
New York,2014,2619312.0,61337112,3347393,24830862,33158857,62556193,40168920,15381372,1515933.0,4060304,61126529.0,1429664.0,23.417260715791016
North Carolina,2014,1441391.0,13462754,1529624,7849343,4083787,13540706,7573296,4015292,747335.0,609013,12944936.0,595770.0,9.340112433059454
North Dakota,2014,103272.0,1568997,155894,901032,512071,1597210,758669,422005,100586.0,239992,1521252.0,75958.0,15.192859632814315
Ohio,2014,1601566.0,23297509,1692769,9492461,12112279,21847582,11350255,7111920,898844.0,1546152,20907171.0,940411.0,14.546705536955704
Oklahoma,2014,670069.0,6034336,690122,2983860,2360354,6026661,2833650,2033459,404999.0,687788,5959896.0,66765.0,9.005544205149022
Oregon,2014,566538.0,6621363,521463,3393147,2706753,6453635,3437466,2151154,242975.0,311077,6142672.0,310963.0,11.687411965305063
Pennsylvania,2014,1605292.0,29068069,1812609,10272392,16983068,28620630,15352999,7889064,1163079.0,1566997,25972139.0,2648491.0,18.10765206579239
Rhode Island,2014,135084.0,2313010,186551,867512,1258947,2258076,1277445,782773,92710.0,37897,2190825.0,67251.0,17.122753249829735
South Carolina,2014,729386.0,8417698,812536,3902923,3702239,8452743,4035914,2747427,430577.0,862750,8076668.0,376075.0,11.540800070196028
South Dakota,2014,130653.0,1345549,186216,413544,745789,1355439,696235,413254,68154.0,146035,1323678.0,31761.0,10.298646031855373
Tennessee,2014,992583.0,9237782,1095377,4315952,3826453,9432883,5296570,2805578,536241.0,549104,9187493.0,245390.0,9.306810614326459
Texas,2014,4949469.0,52776853,5643178,20510815,26622860,53096761,25364709,14803918,2682490.0,5766846,48617963.0,4478798.0,10.663134368555495
Utah,2014,570423.0,4405929,385210,2363055,1657664,4385896,2336613,1139969,302794.0,490911,4270287.0,115609.0,7.723968002692739
Vermont,2014,87990.0,1895044,102434,1495453,297157,1876197,955495,553032,59714.0,56780,1625021.0,251176.0,21.537038299806795
Virginia,2014,1273211.0,15347862,1009659,5994897,8343306,15690444,8464947,4964725,619387.0,1041633,15090692.0,599752.0,12.05445287544641
Washington,2014,1057773.0,13040197,1030232,7833024,4176941,12806300,6267816,4035948,549588.0,1525815,12379167.0,427133.0,12.327973015004165
West Virginia,2014,280265.0,3514889,351957,2033948,1128984,3499873,1823665,1147776,222824.0,286099,3480364.0,19509.0,12.541305550104365
Wisconsin,2014,865119.0,11330253,830568,5709579,4790106,11255186,5685955,3616770,498431.0,767074,10568230.0,686956.0,13.09675663116866
Wyoming,2014,92732.0,1772633,112709,965213,694711,1775999,865932,555761,50715.0,287977,1760385.0,15614.0,19.11565586852435
Alabama,2015,734974.0,7360222,795238,4080167,2484817,7501799,3817479,2414860,594283.0,510091,7336713.0,165086.0,10.014261728986332
Alaska,2015,130755.0,2920986,344111,2026555,550320,2968341,1484610,1068849,92766.0,281914,2928139.0,40202.0,22.33938281518871
Arizona,2015,944978.0,8230507,1093834,3232013,3904660,7902600,3846357,2880184,478876.0,497662,7703079.0,199521.0,8.709733983225007
Arkansas,2015,479682.0,5308625,581412,4075118,652095,5350543,2620399,1772639,290396.0,511556,5194990.0,155553.0,11.066967282491317
California,2015,6226523.0,78248042,7556365,42360470,28331207,78365958,38951948,23501848,3754315.0,6373893,72582004.0,5783954.0,12.56689198771128
Colorado,2015,872320.0,9648297,715254,4354525,4578518,9557682,4578938,3170482,397263.0,923360,9070043.0,487639.0,11.06050188004402
Connecticut,2015,505366.0,11099837,444073,4353546,6302218,10542667,6006275,3233901,362941.0,530491,10133608.0,409059.0,21.96395681545652
Delaware,2015,121845.0,2017075,137544,1142333,737198,1975093,1072395,583951,122741.0,103129,1882216.0,92877.0,16.5544339119373
District of Columbia,2015,46155.0,1382282,146366,0,1235916,1360942,557345,379854,41841.0,381902,1360942.0,0.0,29.948694615967934
Florida,2015,2743641.0,26971491,3118041,10661586,13191864,27277049,14931173,8186082,1816178.0,1681665,26615098.0,661951.0,9.830546707823654
Georgia,2015,1717805.0,18584666,1831221,8310872,8442573,18501103,10081483,5324072,996277.0,1879063,18280895.0,220208.0,10.81884497949418
Hawaii,2015,182384.0,2703683,259390,2381547,62746,2521004,1377713,835930,145560.0,161801,2521004.0,0.0,14.82412382665146
