STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,TOTAL_KNOWN_EXPENDITURE,UNKNOWN_EXPENDITURE,REV_PER_ENROLL
Idaho,2015,274131.0,2167967,232449,1381205,554313,2029520,1130814,663005,108684.0,75680,1978183.0,51337.0,7.908507246535415
Illinois,2015,2047123.0,32096832,2262192,11858968,17975672,32410033,17313173,10279691,992075.0,2056951,30641890.0,1768143.0,15.678995351036551
Indiana,2015,1004215.0,12456571,929878,7676341,3850352,11378564,5537406,3712136,547516.0,948358,10745416.0,633148.0,12.404286930587574
Iowa,2015,505311.0,6714410,458457,3460798,2795155,6772654,3383909,1912222,262267.0,842674,6401072.0,371582.0,13.287678281296072
Kansas,2015,496920.0,5991731,475273,3967809,1548649,6175724,3051755,1692953,250584.0,963767,5959059.0,216665.0,12.057737664010304
Kentucky,2015,688475.0,7548871,848963,4176753,2523155,7554887,3807748,2417226,468694.0,600859,7294527.0,260360.0,10.96462616652747
Louisiana,2015,661015.0,8448743,1235580,3480365,3732798,8437263,4100906,2774314,416066.0,780338,8071624.0,365639.0,12.781469406896969
Maine,2015,176176.0,2739589,183883,1060925,1494781,2596180,1406898,910381,109541.0,55686,2482506.0,113674.0,15.550296294614476
Maryland,2015,874108.0,14491642,819162,6267624,7404856,13882823,7686024,4358416,386104.0,1050651,13481195.0,401628.0,16.578777450841315
Massachusetts,2015,916130.0,16985185,778939,6808436,9397810,16972319,9774884,5043032,497880.0,1034539,16350335.0,621984.0,18.54014714068964
Michigan,2015,1345009.0,19025996,1582706,10510346,6932944,17742903,9040821,5839572,831874.0,967476,16679743.0,1063160.0,14.14562727833048
Minnesota,2015,807044.0,11684249,629909,7567199,3487141,11969872,6257807,2933999,893322.0,1328863,11413991.0,555881.0,14.477833922314025
Mississippi,2015,490189.0,4592343,672366,2324855,1595122,4624539,2350872,1525340,285117.0,407791,4569120.0,55419.0,9.36851500135662
Missouri,2015,892779.0,10623391,948600,4441091,5233700,10540353,5387766,3266781,615166.0,869078,10138791.0,401562.0,11.899239341427162
Montana,2015,144447.0,1804339,214980,851068,738291,1804841,940488,581694,80426.0,160885,1763493.0,41348.0,12.491356691381615
Nebraska,2015,312281.0,4248695,344382,1350116,2554197,4283846,2446701,1102622,183067.0,449287,4181677.0,102169.0,13.60535863533164
Nevada,2015,438948.0,4345419,395630,2744606,1205183,4183085,2170424,1459504,174388.0,205794,4010110.0,172975.0,9.89962136745127
New Hampshire,2015,183039.0,3093061,164905,1000063,1928093,3044720,1697165,938368,75581.0,125475,2836589.0,208131.0,16.89837138533318
New Jersey,2015,1339230.0,29335237,1154004,11423305,16757928,28809725,15339450,9414336,1271558.0,1290946,27316290.0,1493435.0,21.904554856148682
New Mexico,2015,326297.0,3789651,499789,2595682,694180,3846641,1773801,1256303,154435.0,587243,3771782.0,74859.0,11.6141153611587
New York,2015,2631532.0,63712218,2869847,25900858,34941513,65094591,41954260,15714795,1540851.0,4536014,63745920.0,1348671.0,24.21107476557382
North Carolina,2015,1465031.0,13146934,1589570,8172685,3384679,14060699,7960222,4082387,746694.0,698847,13488150.0,572549.0,8.973826492408692
North Dakota,2015,106061.0,1644533,158373,942772,543388,1804762,825445,483984,110836.0,303053,1723318.0,81444.0,15.505539265139872
Ohio,2015,1600222.0,24378660,1676820,10169760,12532080,22561728,11620080,7324444,922732.0,1750785,21618041.0,943687.0,15.234548706366992
Oklahoma,2015,671715.0,6121188,688990,2993050,2439148,6184819,3000894,2041507,414086.0,663768,6120255.0,64564.0,9.112775507469685
Oregon,2015,570376.0,7111710,577106,3678001,2856603,7011609,3650855,2272382,249968.0,477516,6650721.0,360888.0,12.468459402218887
Pennsylvania,2015,1589429.0,29967185,1857885,10532452,17576848,29690645,16058338,8196747,1050310.0,1663209,26968604.0,2722041.0,18.854057022993793
Rhode Island,2015,134574.0,2367068,184718,908963,1273387,2326473,1322055,792525,90209.0,50889,2255678.0,70795.0,17.58934118031715
South Carolina,2015,737401.0,8759944,836137,4094766,3829041,8783362,4123140,2893109,447019.0,928112,8391380.0,391982.0,11.879484839320805
South Dakota,2015,132836.0,1415149,206853,425614,782682,1464781,709363,426257,70128.0,222592,1428340.0,36441.0,10.653354512330994
Tennessee,2015,994530.0,9455920,1122775,4385403,3947742,9562527,5343272,2862499,560697.0,553396,9319864.0,242663.0,9.50792836817391
Texas,2015,5004866.0,55582029,5830972,20967429,28783628,56255791,26745844,15145619,2783770.0,6765205,51440438.0,4815353.0,11.105597832189712
Utah,2015,573913.0,4705084,400213,2487937,1816934,4537962,2367650,1166728,271400.0,606254,4412032.0,125930.0,8.1982530453222
Vermont,2015,85184.0,1996795,105333,1546600,344862,1969415,983532,566649,61871.0,58856,1670908.0,298507.0,23.440963091660407
Virginia,2015,1279867.0,15857524,1012205,6240349,8604970,16113212,8755896,5075509,627473.0,1086722,15545600.0,567612.0,12.38997802115376
Washington,2015,1072359.0,13709442,1036422,8293812,4379208,13630138,6508964,4510672,546926.0,1601069,13167631.0,462507.0,12.78437724679888
West Virginia,2015,279565.0,3478401,362959,1979466,1135976,3466981,1819903,1161944,233836.0,232738,3448421.0,18560.0,12.442190546026863
Wisconsin,2015,861813.0,11637376,814385,5869265,4953726,11553677,5723474,3691809,513402.0,894823,10823508.0,730169.0,13.503365579307808
Wyoming,2015,93867.0,1962874,120290,1116917,725667,1942406,895910,565489,52520.0,409425,1923344.0,19062.0,20.911225457295963
