,State,Year,Enroll,Total_Revenue,Total_Expenditure,Expenditure_Per_Pupil,Population,GDP_Per_Capita,State_Tax_Collection,Income_Per_Capita,Known_Property_Crimes,Unemployment_Rate
63,Idaho,1993,231632.0,890835,899819,3690.2653293000003,1101204.0,,83551000.0,18477.0,38558.0,
64,Illinois,1993,1856841.0,10584624,10744695,5898.360949100001,11725983.999999998,,1097305000.0,23351.0,300434.0,
65,Indiana,1993,958052.0,5833420,5668599,5344.1200592000005,5701965.0,,656228000.0,20137.0,177980.0,
66,Iowa,1993,493957.0,2880731,2889377,5256.9562515,2820525.0,,167046000.0,19083.0,74284.0,
67,Kansas,1993,451469.0,2386945,2522542,5441.9854241,2547605.0,,219074000.0,20881.0,38318.0,
68,Kentucky,1993,489281.0,2381148,2283431,4872.125335199999,3792288.0,,254775000.0,17813.0,103412.0,
69,Louisiana,1993,795719.0,3438321,3427102,4428.1812404,4284749.0,,245273000.0,17655.0,218643.0,
70,Maine,1993,211511.0,1368095,1321846,6073.0624158,1238256.0,,74933000.0,19132.0,37430.0,
71,Maryland,1993,751850.0,4918010,4898895,6812.822568899999,4942504.0,,260401000.0,25235.0,253603.0,
72,Massachusetts,1993,862495.0,6121612,5679261,6627.0387666,6010884.0,,959332000.0,25487.0,206331.0,
73,Michigan,1993,1600650.0,11034174,11430958,6494.307194,9529240.0,,1843420000.0,21106.0,427264.0,
74,Minnesota,1993,781566.0,4862635,5290504,5553.944434800001,4521709.0,,509534000.0,21777.0,182241.0,
75,Mississippi,1993,329408.0,1170109,1167032,3382.3796079000003,2635574.0,,171049000.0,15609.0,72088.0,
76,Missouri,1993,834636.0,4196601,4234845,4885.166724399999,5237757.000000001,,192718000.0,20326.0,214787.0,
77,Montana,1993,158875.0,813998,833435,5425.4438494,839876.0000000001,,85054000.0,18061.0,11871.0,
78,Nebraska,1993,281354.0,1625242,1642376,5336.465099399999,1612149.0,,102755000.0,20491.0,60745.0,
79,Nevada,1993,222846.0,1148268,1265367,5065.6572393,1380197.0,,,23357.0,67811.0,
80,New Hampshire,1993,177722.0,1109743,1091814,5644.425447899999,1122191.0,,126169000.0,22832.0,27882.0,
81,New Jersey,1993,653488.0,6747567,6641624,9415.205479799999,7874891.0,,946641000.0,27328.0,328867.0,
82,New Mexico,1993,281407.0,1217194,1223185,4071.1146126000003,1614937.0000000002,,90428000.0,17430.0,59499.0,
83,New York,1993,2663637.0,22688753,23934282,8902.4714735,,,,,807165.0,
