,State,Year,Enroll,Total_Revenue,Total_Expenditure,Expenditure_Per_Pupil,Population,GDP_Per_Capita,State_Tax_Collection,Income_Per_Capita,Known_Property_Crimes,Unemployment_Rate
247,Texas,1996,3740260.0,22241369,22401797,5473.4811314,19006240.0,,,22319.0,967867.0,
248,Utah,1996,474907.0,2035726,2150719,3867.4677217,2022253.0,,176781000.0,20126.0,108399.0,
249,Vermont,1996,101064.0,965238,975817,6837.2931234,586352.0,,44818000.0,22684.0,16587.0,
250,Virginia,1996,1079854.0,6674519,6903384,5432.5367762,6665491.0,,362830000.0,25962.0,241436.0,
251,Washington,1996,956572.0,6354593,6578388,6073.9237554,5509963.000000001,,,25782.0,294855.0,
252,West Virginia,1996,306451.0,1958647,1936848,6324.6961842,1818983.0,,235123000.0,18692.0,41510.0,
253,Wisconsin,1996,869930.0,6342623,6521058,7093.932272200001,5173827.999999999,,620889000.0,24027.0,183975.0,
254,Wyoming,1996,99859.0,664057,676305,6243.342161199999,480085.0,,,22440.0,18845.0,
255,Alabama,1997,737386.0,3981788,3963624,4903.2878858,4320281.0,31398.0,226616000.0,21480.0,181702.0,
256,Alaska,1997,128143.0,1131950,1237103,9097.3054896,608846.0,61797.0,331337000.0,27812.0,22997.0,
257,Arizona,1997,783552.0,4343262,4432360,4940.2926595,4552207.0,34434.0,600890000.0,22680.0,285540.0,
258,Arkansas,1997,457349.0,2355859,2379496,4840.1223803,2524007.0,30435.0,229982000.0,20149.0,104887.0,
259,California,1997,5595836.0,35614934,33862281,5414.2981663,32217708.0,41345.0,5803652000.0,27147.0,1311157.0,
260,Colorado,1997,672634.0,4133275,4398196,5727.6976812,3891292.9999999995,43558.0,224275000.0,27388.0,162673.0,
261,Connecticut,1997,507838.0,4788489,4642835,8901.0250142,3268514.0,54740.0,567955000.0,35214.0,117505.0,
262,Delaware,1997,110245.0,898926,889631,7803.8829786,735023.9999999999,57306.0,172562000.0,27097.0,32640.0,
263,District of Columbia,1997,78648.0,711625,686059,9018.849318200002,,131417.0,,,,
264,Florida,1997,2241298.0,14363709,14564750,5985.7659497,14683350.0,35372.0,1232731000.0,25551.0,905710.0,
265,Georgia,1997,1346761.0,8248199,8483477,5707.591100399999,7486094.0,40873.0,726321000.0,24289.0,364142.0,
266,Hawaii,1997,187653.0,1213792,1241375,6143.5731398,1189322.0,43832.0,67570000.0,26239.0,68193.0,
267,Idaho,1997,245252.0,1200186,1293705,4731.8493492,1210638.0,28780.0,138277000.0,21300.0,44273.0,
268,Illinois,1997,1952892.0,13929105,13920593,6557.4942327,12011508.999999998,45435.0,1803931000.0,28423.0,231701.0,
269,Indiana,1997,981546.0,7885141,7325086,6605.151846199999,5872370.0,37285.0,904265000.0,23968.0,182692.0,
270,Iowa,1997,502941.0,3406582,3485339,6047.3931156,2854395.9999999995,37319.0,221041000.0,24253.0,83478.0,
271,Kansas,1997,466368.0,3029537,2949608,6158.3659689999995,2616339.0,37497.0,291080000.0,24986.0,37113.0,
272,Kentucky,1997,631592.0,3842885,3903139,5928.958166699999,3907816.0,35264.0,292753000.0,21325.0,52558.0,
273,Louisiana,1997,808798.0,4106095,4027228,5200.6825252,4351390.0,40733.0,380155000.0,21173.0,225531.0,
274,Maine,1997,213241.0,1537085,1527663,6879.5356439,1245215.0,32967.0,97146000.0,22999.0,37217.0,
275,Maryland,1997,818583.0,6040883,6217120,7543.096615500001,5092914.000000001,41966.0,343499000.0,29335.0,244528.0,
276,Massachusetts,1997,928519.0,7585624,7479407,7818.2633273,6115476.0,47182.0,1213366000.0,31152.0,179610.0,
277,Michigan,1997,1684261.0,13759710,14235902,7567.733272300001,9785450.0,39408.0,2228753000.0,25874.0,382870.0,
278,Minnesota,1997,837847.0,6304977,6890773,6371.201440999999,4687726.0,42631.0,699234000.0,26938.0,190756.0,
279,Mississippi,1997,503979.0,2274700,2319324,4312.267691399999,2731825.9999999995,28265.0,225924000.0,19129.0,75832.0,
280,Missouri,1997,899750.0,5550134,5527705,5822.9928309,5407113.0,39677.0,411045000.0,24496.0,214898.0,
281,Montana,1997,164464.0,989991,972059,6111.741116100001,878706.0,29984.0,81999000.0,20278.0,23711.0,
282,Nebraska,1997,290883.0,1994021,1946725,6471.8499174,1656042.0000000002,39369.0,137338000.0,24868.0,62437.0,
283,Nevada,1997,282131.0,1701290,1905940,5540.5996802,1675581.0000000002,48066.0,,27500.0,79783.0,
284,New Hampshire,1997,193524.0,1339186,1431472,6235.9675973,1173239.0,39557.0,208388000.0,28027.0,4694.0,
285,New Jersey,1997,1216721.0,12910890,13242022,10211.120231,8054178.000000001,49643.0,1263979000.0,32830.0,287038.0,
286,New Mexico,1997,332849.0,1768148,1826524,4673.5757045,1722938.9999999998,36297.0,173205000.0,20356.0,87256.0,
287,New York,1997,2818497.0,26775074,28227561,9657.745518200001,,49045.0,,,564147.0,
288,North Carolina,1997,1208695.0,6827952,7007690,5315.2079404,7428672.0,39330.0,981378000.0,24138.0,358196.0,
289,North Dakota,1997,118433.0,683331,679692,5197.909974600001,640945.0,31785.0,75223000.0,21253.0,15947.0,
290,Ohio,1997,1844245.0,12630491,12421963,6516.5398722,11212498.0,39635.0,737363000.0,25037.0,316638.0,
291,Oklahoma,1997,620695.0,3413742,3390894,5150.1694295,3314259.0,32588.0,221172000.0,21011.0,163605.0,
292,Oregon,1997,537675.0,3477420,3792572,6792.3843314999995,3243254.0000000005,33967.0,384073000.0,24946.0,186460.0,
293,Pennsylvania,1997,1781383.0,15184431,15777276,7685.5221144,12015888.0,38759.0,1575707000.0,25998.0,309082.0,
294,Rhode Island,1997,150433.0,1185534,1175638,8306.6248386,986966.0,38025.0,89198000.0,25798.0,32777.0,
295,South Carolina,1997,641925.0,3874045,3921465,5371.2452518,3790066.0,34069.0,239350000.0,21574.0,195133.0,
296,South Dakota,1997,135601.0,747462,711052,4935.7674095,730855.0,30784.0,36888000.0,22644.0,13560.0,
297,Tennessee,1997,886517.0,4390879,4695409,5010.685498,5378433.000000001,36910.0,479660000.0,23308.0,206493.0,
298,Texas,1997,3826366.0,23091567,23671010,5735.5614015,19355427.0,41366.0,,23825.0,946689.0,
299,Utah,1997,479812.0,2187279,2178778,4045.1785895000003,2065397.0,35533.0,195800000.0,21231.0,112599.0,
300,Vermont,1997,101584.0,1022546,1069297,7171.165894399999,588665.0,32725.0,45327000.0,23763.0,0.0,
301,Virginia,1997,1096279.0,7345090,7436340,5677.247631600001,6732878.000000001,43069.0,425154000.0,27351.0,237154.0,
302,Washington,1997,974504.0,6667626,6792261,6182.0875646,5604105.0,45753.0,,27297.0,292992.0,
303,West Virginia,1997,303441.0,2053981,2018185,6519.4747398,1815588.0,30445.0,251230000.0,19514.0,40868.0,
304,Wisconsin,1997,879021.0,6724752,6990489,7397.9924796000005,5200235.0,38663.0,638975000.0,25309.0,175815.0,
305,Wyoming,1997,98777.0,660079,695127,6448.2103479,480031.0,46585.0,,23967.0,18513.0,
306,Alabama,1998,739321.0,4140537,4245033,5165.5577037,4351037.0,32164.0,243803000.0,22650.0,169703.0,
307,Alaska,1998,130633.0,1206195,1222893,9074.490117899999,615205.0,59504.0,275758000.0,28771.0,20880.0,
308,Arizona,1998,794331.0,4675296,4726098,5122.4568282,4667277.0,36311.0,528061000.0,24072.0,272358.0,
309,Arkansas,1998,456355.0,2567380,2536027,4998.691034,2538202.0,30513.0,252870000.0,21189.0,95786.0,
310,California,1998,5727224.0,39183018,38087666,5795.3562855,32682793.999999996,43098.0,5587671000.0,29031.0,1187933.0,
311,Colorado,1998,686360.0,4359021,4739136,6099.1784888,3968967.0,46692.0,271143000.0,29670.0,151586.0,
312,Connecticut,1998,515141.0,5024673,4810851,9218.4872724,3272563.0,56416.0,534939000.0,37870.0,111980.0,
313,Delaware,1998,111428.0,934530,915207,7962.6861819999995,744066.0,61729.0,205274000.0,29643.0,34410.0,
314,District of Columbia,1998,77111.0,706938,716740,9224.6527936,,134065.0,,,,
315,Florida,1998,2292161.0,15595671,15155383,6183.3983688,14908230.0,36773.0,1271261000.0,27092.0,884397.0,
316,Georgia,1998,1375980.0,9207163,8990897,6058.729155100001,7636522.0,42737.0,739738000.0,26043.0,360222.0,
317,Hawaii,1998,189887.0,1279125,1266378,6408.8069322,1190472.0,42562.0,61755000.0,26703.0,60677.0,
318,Idaho,1998,244403.0,1310960,1342719,5011.8705958,1230923.0,29660.0,117694000.0,22635.0,41868.0,
319,Illinois,1998,1972406.0,14688777,15207067,7111.401750200001,12069774.0,46319.0,1961566000.0,29952.0,226854.0,
320,Indiana,1998,985690.0,7656749,7649103,6785.815319300001,5907616.999999999,39273.0,928218000.0,25699.0,175148.0,
321,Iowa,1998,501054.0,3589705,3650286,6295.170188699999,2861025.0,37386.0,196841000.0,25300.0,79501.0,
322,Kansas,1998,468980.0,3207670,3087318,6406.0813336,2638667.0,38467.0,305914000.0,26321.0,35074.0,
323,Kentucky,1998,645232.0,3938009,4018512,6124.7001232,3934310.0,35980.0,333666000.0,22405.0,52912.0,
324,Louisiana,1998,774561.0,4443468,4379797,5643.597737,4362758.0,41518.0,359510000.0,22079.0,220672.0,
325,Maine,1998,212038.0,1611926,1601411,7237.9998485,1247553.9999999998,33892.0,107125000.0,24522.0,36137.0,
326,Maryland,1998,830744.0,6521269,6519389,7812.1942739999995,5130072.0,43200.0,378714000.0,31336.0,233518.0,
327,Massachusetts,1998,942331.0,7726497,8098720,8299.427051800001,6144406.999999999,48760.0,1354899000.0,32909.0,164995.0,
328,Michigan,1998,1680559.0,14712250,14905765,7717.2192176,9820231.0,39834.0,2354764000.0,27348.0,390398.0,
329,Minnesota,1998,841723.0,6672384,6815289,6794.861931199999,4726411.0,44204.0,753188000.0,29010.0,175555.0,
330,Mississippi,1998,504792.0,2400660,2543454,4574.9107418,2751335.0,28714.0,244301000.0,20069.0,76854.0,
331,Missouri,1998,909441.0,5990499,5849648,6096.0868476000005,5437562.0,40292.0,357904000.0,25524.0,217354.0,
332,Montana,1998,162164.0,1035636,1007146,6447.9677601,879533.0,31290.0,77928000.0,21602.0,17162.0,
333,Nebraska,1998,291570.0,2062836,1966403,6584.1586744999995,1660772.0000000002,39830.0,142150000.0,26396.0,64078.0,
334,Nevada,1998,296621.0,1906860,2030065,5757.5387813,1743772.0000000002,48073.0,,29071.0,81006.0,
335,New Hampshire,1998,196734.0,1420100,1428447,6487.407065199999,1185823.0,41521.0,236193000.0,30342.0,12002.0,
336,New Jersey,1998,1238948.0,13786951,13973201,10232.833567,8095541.999999999,50347.0,1178053000.0,34711.0,260835.0,
337,New Mexico,1998,331673.0,1913783,1933538,4983.536233600001,1733535.0,35684.0,180021000.0,21165.0,86037.0,
338,New York,1998,2834992.0,27900803,29853891,9969.506470999999,,50064.0,,,499878.0,
339,North Carolina,1998,1230010.0,7516979,7688076,5667.2835853999995,7545828.0,40363.0,999759000.0,25323.0,354582.0,
340,North Dakota,1998,116813.0,731384,715126,5353.218935899999,637808.0,33475.0,82544000.0,23392.0,15553.0,
341,Ohio,1998,1846585.0,13577343,13005301,6807.531008600001,11237752.0,41267.0,765883000.0,26376.0,317168.0,
342,Oklahoma,1998,623681.0,3559980,3617938,5388.689003,3339478.0,32814.0,222621000.0,21910.0,149229.0,
343,Oregon,1998,540226.0,3892091,3939722,7347.5476456,3282055.0,35256.0,279197000.0,26018.0,169814.0,
344,Pennsylvania,1998,1791100.0,15671363,16432921,7776.5020216,12002329.0,39924.0,1562856000.0,27343.0,315476.0,
345,Rhode Island,1998,152356.0,1255280,1221558,8626.9916256,987704.0,39140.0,69714000.0,27421.0,31514.0,
346,South Carolina,1998,648084.0,4109130,4241163,5642.7543813,3839578.0,34734.0,213622000.0,22765.0,188147.0,
347,South Dakota,1998,133698.0,793101,781279,5280.987732199999,730789.0,32443.0,38269000.0,24289.0,14170.0,
348,Tennessee,1998,876693.0,4757639,4988208,5273.5711537,5432679.0,38257.0,607418000.0,25211.0,209028.0,
349,Texas,1998,3888061.0,24485263,25723965,5909.7699405,19712389.0,43009.0,,25435.0,897188.0,
350,Utah,1998,480811.0,2295870,2326611,4255.7043215,2100562.0,36974.0,184584000.0,22218.0,103722.0,
351,Vermont,1998,101413.0,1089658,1064388,7500.3322997,590579.0000000001,33514.0,45886000.0,25480.0,16627.0,
352,Virginia,1998,1110815.0,7723744,7813707,5936.2107173,6789225.0,44745.0,445659000.0,28990.0,222636.0,
353,Washington,1998,991235.0,6928738,7211601,6534.5581976,5687831.999999999,47712.0,,29424.0,298693.0,
354,West Virginia,1998,300737.0,2178936,2100841,6779.4218101000015,1811687.9999999998,30978.0,221528000.0,20379.0,41524.0,
355,Wisconsin,1998,881552.0,7083655,7532110,7680.0371792,5222124.0,39695.0,680639000.0,26978.0,52310.0,
356,Wyoming,1998,96504.0,703280,706801,6717.848768000001,480045.0,47652.0,,25411.0,16878.0,
357,Alabama,1999,737639.0,4471546,4622810,5511.6221525,4369862.0,33106.0,233024000.0,23274.0,164060.0,
358,Alaska,1999,133508.0,1243227,1289988,9208.8037317,619500.0,58609.0,211811000.0,29498.0,20783.0,
359,Arizona,1999,814157.0,5085826,5072471,5234.7027788000005,4778332.0,38300.0,545388000.0,24785.0,252730.0,
360,Arkansas,1999,451981.0,2684966,2650808,5192.7639739,2551373.0,31877.0,212206000.0,21832.0,91538.0,
361,California,1999,5839207.0,41393435,40834643,6045.219683199999,33145121.0,45541.0,5459199000.0,30474.0,1052784.0,
362,Colorado,1999,698402.0,4740254,5040224,6386.2425206,4056133.0,49040.0,301043000.0,31263.0,144575.0,
363,Connecticut,1999,522415.0,5460213,5269517,9619.7101112,3282031.0,57724.0,474512000.0,39825.0,99718.0,
364,Delaware,1999,112320.0,1004472,960335,8336.1439842,753538.0,66794.0,232528000.0,31496.0,30922.0,
365,District of Columbia,1999,71889.0,758072,738942,10610.791718999999,,138460.0,,,,
366,Florida,1999,2333567.0,17093036,16156822,6442.9304798,15111243.999999998,37913.0,1266959000.0,27995.0,803629.0,
367,Georgia,1999,1401291.0,10380164,10106670,6534.0668547,7788240.0,44677.0,793173000.0,27144.0,344992.0,
368,Hawaii,1999,188069.0,1328572,1357649,6648.0238901,1185497.0,43398.0,52414000.0,27799.0,54539.0,
369,Idaho,1999,244623.0,1405250,1409367,5378.9909624,1251700.0,31920.0,96146000.0,23645.0,36572.0,
370,Illinois,1999,1987427.0,16208970,16783840,7675.5904933,12128370.0,47665.0,2103927000.0,31023.0,213936.0,
371,Indiana,1999,986891.0,8167164,8196714,7248.7736878000005,5942901.0,40222.0,989627000.0,26573.0,159401.0,
372,Iowa,1999,498214.0,3740509,3789049,6548.1310285,2869413.0,37971.0,234540000.0,25837.0,79508.0,
373,Kansas,1999,469758.0,3390596,3189867,6707.6521952,2654052.0,39206.0,253840000.0,27032.0,31292.0,
374,Kentucky,1999,653628.0,4188131,4305678,6500.7231232,3960825.0,36847.0,312067000.0,23162.0,48829.0,
375,Louisiana,1999,764642.0,4641847,4702496,6019.0877563,4372035.0,42192.0,286323000.0,22486.0,211268.0,
376,Maine,1999,210245.0,1708133,1699835,7688.3942404,1253040.0,35300.0,147489000.0,25622.0,34217.0,
377,Maryland,1999,841671.0,6850334,6892276,7865.273564200001,5171634.0,44507.0,404967000.0,32990.0,163428.0,
378,Massachusetts,1999,957402.0,8388120,8673439,8750.445161200001,6175169.0,50987.0,1249673000.0,34849.0,162383.0,
379,Michigan,1999,1696275.0,15248112,15837858,8142.1501130999995,9863775.0,41764.0,2413615000.0,28640.0,351508.0,
380,Minnesota,1999,843802.0,6949149,7450965,7183.1572478,4775508.0,45258.0,779176000.0,30134.0,156921.0,
381,Mississippi,1999,502382.0,2532681,2811852,4871.1937633,2768619.0,29257.0,229501000.0,20563.0,82322.0,
382,Missouri,1999,911563.0,6238901,6228001,6393.3225586,5468338.000000001,41051.0,276523000.0,26382.0,209298.0,
383,Montana,1999,159813.0,1049369,1026263,6768.471770100001,882779.0,31395.0,89624000.0,22020.0,17700.0,
384,Nebraska,1999,290383.0,2212104,2062226,6855.974986200001,1666027.9999999998,40474.0,135034000.0,27449.0,60019.0,
385,Nevada,1999,311063.0,2089048,2298474,5934.1016064,1809253.0,49517.0,,30259.0,73874.0,
386,New Hampshire,1999,201252.0,1498286,1491560,6779.6440463,1201134.0,42172.0,255818000.0,31923.0,12500.0,
387,New Jersey,1999,1257772.0,14977501,14927302,10748.270535,8143411.999999999,51571.0,1333955000.0,36075.0,243461.0,
388,New Mexico,1999,328715.0,2068337,2098998,5363.4443631,1739844.0,37395.0,163964000.0,21476.0,79867.0,
389,New York,1999,2850352.0,30215370,31841870,10514.324642,,52368.0,,,435297.0,
390,North Carolina,1999,1244926.0,8476795,8674393,6087.9775707,7650789.000000001,41811.0,920583000.0,26149.0,343911.0,
391,North Dakota,1999,114546.0,770094,756337,5820.2100542,633665.9999999999,33710.0,93595000.0,23803.0,14141.0,
392,Ohio,1999,1834379.0,14507056,13865260,7254.4502139,11256653.999999998,42013.0,751567000.0,27179.0,324529.0,
393,Oklahoma,1999,628522.0,3788901,3817848,5684.1897477,3358044.0000000005,33045.0,187308000.0,22282.0,140199.0,
394,Oregon,1999,541436.0,4080653,4172435,7787.475894,3316154.0000000005,35552.0,324386000.0,26780.0,152644.0,
395,Pennsylvania,1999,1787430.0,16361921,17113809,8025.7556299,11994016.000000002,41016.0,1537722000.0,28458.0,297791.0,
396,Rhode Island,1999,153710.0,1358566,1289045,9048.8436013,990819.0,40034.0,66318000.0,28394.0,32659.0,
397,South Carolina,1999,652731.0,4365352,4610436,6002.9518029,3885736.0,35728.0,257488000.0,23564.0,175627.0,
398,South Dakota,1999,131728.0,825851,838078,5613.391931,733133.0,33574.0,50819000.0,25356.0,15141.0,
399,Tennessee,1999,893842.0,5059587,5446555,5521.2930939,5483535.0,38930.0,571428000.0,25901.0,211812.0,
400,Texas,1999,3933017.0,26096023,27883593,6161.2158498,20044141.0,43825.0,,26307.0,890536.0,
401,Utah,1999,478814.0,2425600,2448591,4477.9124937,2129836.0000000005,38084.0,180141000.0,22988.0,98475.0,
402,Vermont,1999,100348.0,1147600,1129982,7983.9630648,593740.0,35087.0,49696000.0,26952.0,15425.0,
403,Virginia,1999,1122858.0,8331336,8335873,6128.6707594,6872911.999999999,46223.0,414388000.0,30630.0,195023.0,
404,Washington,1999,999616.0,7288143,7489129,6595.036538699999,5756361.0,50591.0,,31045.0,274316.0,
405,West Virginia,1999,296551.0,2190420,2169432,7188.5190265,1806928.0,32208.0,263121000.0,20984.0,32458.0,
406,Wisconsin,1999,878983.0,7415243,7875805,8062.4046891,5250446.0,41053.0,670958000.0,27991.0,158359.0,
407,Wyoming,1999,94420.0,780875,739019,7393.112889899999,479602.0,49380.0,,27149.0,15372.0,
408,Alabama,2000,730184.0,4885917,5003267,5758.42862776678,4452173.0,33284.0,243099000.0,24258.0,151127.0,
409,Alaska,2000,132822.0,1313510,1386904,9668.16119334706,627963.0000000001,57184.0,438438000.0,31651.0,21074.0,
410,Arizona,2000,814807.0,5479168,5397194,5478.35967253028,5160585.999999999,39185.0,523182000.0,26232.0,271269.0,
411,Arkansas,2000,450751.0,2844855,2683400,5627.818516259301,2678587.9999999995,31834.0,236969000.0,22784.0,97501.0,
412,California,2000,5941946.0,46628207,45829753,6400.55339339719,33987977.0,48223.0,6638762000.0,33095.0,1054010.0,
413,Colorado,2000,707436.0,5073266,5444193,6701.706095629661,4326920.999999999,51524.0,334980000.0,34026.0,145469.0,
414,Connecticut,2000,530363.0,5884078,5605280,10121.8600937841,3411777.0,61355.0,426617000.0,43287.0,99162.0,
415,Delaware,2000,112743.0,1098555,1040480,8808.670634324151,786373.0,68992.0,240319000.0,34430.0,29553.0,
416,District of Columbia,2000,70762.0,881423,858807,11934.8398219394,,138628.0,,,,
417,Florida,2000,2377271.0,17558787,17180954,6383.032706291519,16047515.0,38860.0,1182796000.0,29744.0,767667.0,
418,Georgia,2000,1422941.0,11197766,10884510,6903.24445678907,8227303.0,45447.0,712421000.0,28740.0,325603.0,
419,Hawaii,2000,185860.0,1404895,1363511,7090.17004907115,1213519.0,44260.0,75271000.0,29403.0,60033.0,
420,Idaho,2000,245226.0,1452222,1467977,5644.1016081238,1299430.0,34851.0,125860000.0,25087.0,37927.0,
421,Illinois,2000,2003839.0,17595047,18073190,8083.875697072641,12434161.0,49145.0,2261293000.0,33202.0,199349.0,
422,Indiana,2000,987214.0,8489991,8518477,7652.077656812091,6091866.0,41205.0,924623000.0,28159.0,167958.0,
423,Iowa,2000,497301.0,3822452,3974813,6925.00392673489,2929067.0,39747.0,214605000.0,27512.0,84001.0,
424,Kansas,2000,469377.0,3518271,3327090,6962.147739385689,2693680.9999999995,39923.0,272432000.0,28404.0,86199.0,
425,Kentucky,2000,646467.0,4330089,4510972,6784.234837623941,4049020.9999999995,35513.0,306450000.0,24819.0,45650.0,
426,Louisiana,2000,750755.0,4785331,4807097,6255.63778123162,4471885.0,40679.0,222008000.0,23692.0,199945.0,
427,Maine,2000,209012.0,1792390,1842276,8246.7464148771,1277072.0,36503.0,150046000.0,27345.0,31880.0,
428,Maryland,2000,846582.0,7419047,7355698,8273.116065187522,5311034.000000001,45619.0,431109000.0,35487.0,214440.0,
429,Massachusetts,2000,958907.0,9464271,9466363,9374.95340240087,6361104.0,54736.0,1306353000.0,38547.0,158753.0,
430,Michigan,2000,1700074.0,15939477,16580526,8885.863950843679,9952450.0,42225.0,2382496000.0,30391.0,343233.0,
431,Minnesota,2000,839839.0,7344747,7736391,7499.144655900749,4933692.0,47577.0,803357000.0,32247.0,155293.0,
432,Mississippi,2000,499362.0,2743284,2996474,5355.514521723921,2848353.0,29166.0,227716000.0,21535.0,84888.0,
433,Missouri,2000,913517.0,6675260,6708608,6764.13928035354,5607285.0,41920.0,265467000.0,27982.0,208785.0,
434,Montana,2000,157381.0,1104935,1051768,6990.017377189721,903773.0,31899.0,99772000.0,23315.0,16894.0,
435,Nebraska,2000,287566.0,2263952,2165529,7359.59848644023,1713820.0,41761.0,140022000.0,28890.0,62336.0,
436,Nevada,2000,325610.0,2252416,2437438,6147.72036306779,2018741.0,49607.0,,31903.0,74823.0,
437,New Hampshire,2000,203178.0,1586869,1640395,7082.49456019732,1239882.0,44460.0,312176000.0,35460.0,16151.0,
438,New Jersey,2000,1279542.0,15651060,15907248,10902.51189999,8430621.0,53701.0,1347336000.0,39411.0,233637.0,
439,New Mexico,2000,324489.0,2191695,2165031,5834.8466182866605,1821204.0,37773.0,159338000.0,22973.0,78964.0,
440,New York,2000,2861478.0,31906526,33683043,10956.6371134497,,53827.0,,,427466.0,
441,North Carolina,2000,1261586.0,9064700,9275837,6505.06213688196,8081614.000000001,42193.0,1197162000.0,27373.0,343174.0,
442,North Dakota,2000,112349.0,812982,802768,6078.077823121489,642023.0,35067.0,78221000.0,26004.0,13522.0,
443,Ohio,2000,1822566.0,15327834,14909952,7816.4656723917005,11363543.0,42678.0,630607000.0,28509.0,329209.0,
444,Oklahoma,2000,627032.0,3906833,3876871,5769.704327046079,3454365.0,34015.0,194145000.0,23983.0,140125.0,
445,Oregon,2000,542739.0,4369400,4398318,8128.76411840917,3429708.0,38193.0,407084000.0,28596.0,151933.0,
446,Pennsylvania,2000,1782444.0,17090654,17861852,8380.32130739095,12284173.0,41857.0,1696845000.0,30381.0,288257.0,
447,Rhode Island,2000,155351.0,1464820,1388454,9646.33230394261,1050268.0,41395.0,74825000.0,30284.0,33323.0,
448,South Carolina,2000,666780.0,4690418,4961392,6545.46534903981,4024223.0,36070.0,227161000.0,24921.0,178319.0,
449,South Dakota,2000,130279.0,868161,898609,6036.694049995091,755843.9999999999,35601.0,45123000.0,26808.0,14808.0,
450,Tennessee,2000,907222.0,5338531,5805181,5837.213886501961,5703719.0,38892.0,613924000.0,27154.0,237893.0,
451,Texas,2000,3965971.0,28918934,31067935,6771.44588363842,20944499.0,44432.0,,28145.0,915304.0,
452,Utah,2000,477835.0,2546642,2478420,4692.4200037492,2244502.0,38695.0,173799000.0,24138.0,87056.0,
453,Vermont,2000,99609.0,1211370,1193813,8799.29911824782,609618.0,36622.0,44430000.0,28904.0,16129.0,
454,Virginia,2000,1132673.0,8911426,9154676,6491.04599944943,7105816.999999999,47313.0,565909000.0,32713.0,188954.0,
455,Washington,2000,1003714.0,7620930,7811937,6913.59206694206,5910512.0,50063.0,,32839.0,273851.0,
456,West Virginia,2000,290982.0,2243151,2243563,7636.70992436246,1807021.0,32144.0,217793000.0,22280.0,39134.0,
457,Wisconsin,2000,877165.0,7848352,8183251,8298.63942429384,5373999.0,41911.0,578120000.0,29682.0,153788.0,
458,Wyoming,2000,91883.0,787323,769923,7944.033533893969,494300.0,50814.0,,28966.0,14896.0,
459,Alabama,2001,728532.0,4832946,5086045,6052.0062427,4467634.0,33312.0,201533000.0,25001.0,148080.0,
460,Alaska,2001,131985.0,1325498,1402839,9997.686542200001,633714.0,58547.0,400442000.0,33108.0,21300.0,
461,Arizona,2001,834387.0,5916342,5858385,6031.5973903,5273477.0,39170.0,541174000.0,26766.0,290893.0,
462,Arkansas,2001,449693.0,2974588,2951677,5941.7228272,2691571.0,31685.0,202345000.0,23854.0,95359.0,
463,California,2001,6045030.0,53288943,52082540,7063.1736841,34479458.0,47216.0,6899302000.0,33671.0,1132810.0,
464,Colorado,2001,723696.0,5372784,5727966,7081.573580600001,4425687.0,51113.0,340039000.0,34931.0,155117.0,
465,Connecticut,2001,537521.0,6331569,5987680,10524.539387,3432835.0,61872.0,387812000.0,45272.0,95367.0,
466,Delaware,2001,112055.0,1153831,1175717,9720.0480787,795699.0,71155.0,158703000.0,37417.0,27727.0,
467,District of Columbia,2001,68925.0,1042261,1026146,13204.286795999999,,144598.0,,,,
468,Florida,2001,2431884.0,18467090,18389394,6620.1193868,16356966.0,39445.0,1591473000.0,30790.0,781339.0,
469,Georgia,2001,1444937.0,12271962,11853800,7431.123352,8377038.0,45181.0,691473000.0,29666.0,331495.0,
470,Hawaii,2001,184360.0,1682332,1363164,7106.062144600001,1225948.0,43778.0,60499000.0,30356.0,62830.0,
471,Idaho,2001,243926.0,1571348,1535485,6077.311195800001,1319962.0000000002,33390.0,141986000.0,25808.0,37966.0,
472,Illinois,2001,2025249.0,18534372,19337580,8658.9753431,12488445.0,48849.0,2216842000.0,34133.0,190730.0,
473,Indiana,2001,987854.0,9124748,8991877,8127.9883224,6127760.0,40138.0,825017000.0,28704.0,181362.0,
474,Iowa,2001,495080.0,4068110,4211493,7340.2988507,2931997.0000000005,38988.0,166745000.0,28276.0,84539.0,
475,Kansas,2001,468347.0,3681845,3491029,7680.9914337,2702162.0000000005,39745.0,236723000.0,29268.0,89770.0,
476,Kentucky,2001,643730.0,4536133,4350588,7173.709013500001,4068132.0,35497.0,361390000.0,25535.0,54357.0,
477,Louisiana,2001,737223.0,4982369,4939894,6552.8790007,4477875.0,41302.0,293056000.0,25290.0,197321.0,
478,Maine,2001,207171.0,1914551,1958646,8878.908623000001,1285692.0,36995.0,96283000.0,28661.0,33055.0,
479,Maryland,2001,852920.0,7864290,7981362,8833.4624562,5374691.0,46792.0,501365000.0,37025.0,223650.0,
480,Massachusetts,2001,965934.0,10613329,10572138,10072.966681999998,6397634.0,55114.0,1211584000.0,39944.0,162860.0,
481,Michigan,2001,1705088.0,16772419,17573761,9030.595666500001,9991120.0,40883.0,2102093000.0,30786.0,346487.0,
482,Minnesota,2001,836386.0,7836617,8221636,7960.4389359,4982795.999999999,47177.0,732004000.0,33204.0,158537.0,
483,Mississippi,2001,496513.0,2823151,2930393,5534.7565761999995,2852994.0,28856.0,210786000.0,22752.0,85793.0,
484,Missouri,2001,911673.0,7081783,7100685,7264.5729623,5641142.0,41346.0,236261000.0,28733.0,224735.0,
