year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,total_known_expenditure,unknown_expenditure,rev_per_enroll,population,known_property_crimes,expenditure_per_pupil,gdp_per_capita,income_per_capita,unemployment_rate,dollar_index
2004,47854683.0,470489151,41300957,218098876,211089318,481241595,245192668,138496636,21542747.0,52268699,457500750.0,23740845.0,502.6942661394354,292817434.0,9812534.0,9033.7445911281,47625.294117647056,33526.72549019608,0.05215196078431373,98.79808333333334
2005,48055258.0,496839635,44355247,229525854,222958534,506626625,258338409,146327500,22501553.0,54222129,481389591.0,25237034.0,533.133238849625,295531512.0,9621575.0,9487.978012127007,48587.450980392154,35044.470588235294,0.049222222222222244,97.14591666666666
2006,48301028.0,529971381,47100781,242785457,240085143,536742833,271842769,156003270,23641773.0,58808961,510296773.0,26446060.0,566.3506263268653,298393072.0,9451231.0,10057.664774195879,49459.490196078434,37217.23529411765,0.044714052287581685,96.03508333333332
2007,48404572.0,565776634,46433350,264548749,254794535,569654941,288131163,165053309,24981620.0,64092645,542258737.0,27396204.0,604.6231133309556,301242719.0,9341896.0,10631.198521448721,49802.17647058824,38994.294117647056,0.043593137254901965,91.45233333333333
2008,48401417.0,591836483,47071391,280926633,263838459,604581544,304751166,175908711,26111538.0,68653127,575424542.0,29157002.0,635.7200696222741,304103659.0,9448578.0,11330.214851875098,49499.96078431373,40568.86274509804,0.05379738562091503,87.59308333333335
2009,48258715.0,600684313,55900112,276153850,268630351,616770225,311891097,178693645,27123557.0,68044563,585752862.0,31017363.0,645.3396734468072,306779276.0,9337060.0,11672.718068269689,48068.76470588235,39091.117647058825,0.08485457516339869,91.18033333333334
2010,48266209.0,602881374,73967088,257746984,271167302,614739370,317219720,178915006,27147992.0,59356069,582638787.0,32100583.0,663.2105855416994,309338421.0,9112625.0,11886.527572186003,48633.07843137255,39987.25490196078,0.08747712418300653,86.92525
2011,48275975.0,609555659,73706700,266249667,269599292,607600935,317911967,179399009,27127741.0,52341659,576780376.0,30820559.0,667.4188316953621,311644280.0,9052743.0,11959.916936555572,49023.62745098039,42216.56862745098,0.08159640522875818,82.45074999999999
2012,48214349.0,604716747,59532214,270431959,274752574,604805382,316590722,179847962,27121117.0,50202327,573762128.0,31043254.0,670.7984713950457,313993272.0,9001992.0,11956.998103616404,49326.23529411765,43943.56862745098,0.07372875816993466,84.17566666666664
2013,48297621.0,608067328,54388642,273802559,279876127,608403723,322188472,181684668,27800242.0,46987318,578660700.0,29743023.0,674.4598476524166,316234505.0,8650761.0,12105.939305622358,49310.43137254902,44075.60784313725,0.06762908496732027,84.25091666666667
2014,48378984.0,628641027,52901812,288836201,286903014,624718207,330572268,187733965,28386207.0,47600601,594293041.0,30425166.0,695.6334067762893,318622525.0,8277829.0,12436.885610743688,49946.098039215685,45939.92156862745,0.0578300653594771,86.07508333333332
2015,48514436.0,653669669,53306749,302632386,297730534,650900851,344294024,194409602,28992510.0,52142141,619838277.0,31062574.0,720.5217971903169,321039839.0,1654867.271231417,12828.362411365037,50644.07843137255,47588.117647058825,0.05040359477124181,95.32424999999999
