state,year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,avg_attendence_elem_secd_schools,teachers_elem_secd_schools,high_school_completers_18_to_24,bachelor_completers_over_25,pupil_teacher_ratio,pub_high_school_graduates,expenditure_per_pupil,edu_expenditure_percent_gov_income,population,gdp_per_capita,income_per_capita,known_property_crimes,unemployment_rate
South Carolina,2003,691736.0,5709707,535356,2761951,2412400,6024747,2888468,1731328,324241.0,865462,635750.0,47823.488,0.7701962368916706,0.22707284175084175,14.768700489835776,32944.97835915819,7759.163697600001,0.182,4150297.0000000005,37283,26575,187432.0,0.06900000000000002
South Dakota,2003,127632.0,965778,148498,328576,488704,993823,499480,295468,42694.0,122247,116651.0,9146.1712,0.7947575988791179,0.24052881144781146,13.43242579790925,9122.206231966818,7192.156601899998,0.155,763728.9999999999,40909,30278,14495.0,0.035333333333333335
Tennessee,2003,905050.0,5994756,608447,2648909,2737400,6482671,3621601,1716956,341055.0,635950,859522.0,58089.433294158334,0.7724701170877306,0.20581571962369782,16.00004258302988,44655.38105211544,6673.6758228,0.16399999999999998,5847812.0,40463,29041,256291.0,0.05625
Texas,2003,4201914.0,35143236,3360082,13675228,18107926,37333674,18009879,10264033,1731131.0,4764154,4016791.0,288623.7702882077,0.7358116904553909,0.239496840908726,14.951396067300184,242586.825,7714.115870300001,0.28800000000000003,22030931.0,44330,29789,1015118.0,0.06691666666666668
Utah,2003,483066.0,2875622,263030,1607204,1005388,2957874,1508566,705128,205147.0,469251,456183.0,22408.378512042822,0.8180322005533305,0.27110665399420303,22.036511850454307,30413.496875,5247.3745574,0.305,2360137.0,39094,25657,96154.0,0.056500000000000015
Vermont,2003,94901.0,1451171,79956,779124,592091,1440961,662999,345187,32289.0,46411,95160.0,8786.57942857143,0.8559204963250642,0.29955277180670875,11.317749448973245,7024.896028607333,10902.630346,0.38,617858.0000000001,39886,32200,13522.0,0.04300000000000001
Virginia,2003,1175458.0,10504167,698716,4087720,5717731,10746679,5661291,3184333,425933.0,1069375,1118446.0,102858.112,0.8313391274844444,0.30660126264139353,11.770886160895873,70423.93396661822,8299.836806,0.16899999999999998,7366977.0,49191,36008,196512.0,0.04125
Washington,2003,1014577.0,8565636,702469,5334268,2528899,8802387,4332487,2514359,396084.0,1189781,937656.0,52768.13710777327,0.7816404941868846,0.28725888783767356,19.503701315453434,61036.715625,7882.1353719,0.236,6104115.0,49149,34471,288744.0,0.07416666666666667
West Virginia,2003,281591.0,2497707,267470,1519848,710389,2524444,1420396,761887,164473.0,166233,266078.0,20062.81142857143,0.8038491625241552,0.15105557289351718,13.841321228066795,17670.77974873578,9025.147896200002,0.125,1812295.0,32396,24834,36715.0,0.060416666666666674
Wisconsin,2003,875390.0,8931497,530014,4838109,3563374,9128279,4844788,2757563,346325.0,733156,826864.0,60152.93417936105,0.8339008679172037,0.23678910965262234,14.559408132050198,62086.62892252104,9537.6648673,0.183,5479203.0,43568,32080,154878.0,0.057
Wyoming,2003,85966.0,962240,84308,489199,388733,915515,473447,292271,27608.0,110312,78652.0,6710.928000000001,0.8193758985684841,0.22144964349490404,12.682075216169832,6016.717576076456,9906.4300246,0.14400000000000002,503453.00000000006,54930,33264,16331.0,0.04266666666666668
Alabama,2004,730418.0,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522.0,449619,706446.0,57680.49919999999,0.7550564358827944,0.20498708817400627,12.902692467761568,36464.0,6812.23858157594,0.234,4530729.0,36702,28371,175546.0,0.057
Alaska,2004,133153.0,1477152,286447,809810,380895,1647250,775069,527349,54475.0,255826,122341.0,7911.7472,0.8089537103681189,0.27086255692729766,16.872695762109874,7236.0,11074.338488323601,0.135,659286.0,60137,36791,21605.0,0.0745
Arizona,2004,895927.0,7117923,835464,3181009,3101450,6731212,3224647,2115629,332228.0,829146,878891.0,50017.457271389256,0.7361947778234509,0.24886838347948087,21.29041412892057,45508.0,6908.462428219201,0.188,5652404.0,41063,29978,301799.0,0.05041666666666665
Arkansas,2004,453491.0,3385818,423001,2430731,532086,3539569,1863515,1036279,182711.0,362154,425571.0,32702.826611539156,0.767740860243933,0.17293761258939191,14.36889543946462,27181.0,7306.99318797568,0.163,2749685.9999999995,34936,26807,99923.0,0.057
California,2004,6284502.0,60162326,6634068,31756690,21771568,62647953,29624968,17338877,3048006.0,9242549,6373959.0,308899.6848,0.7622723194145528,0.2854359706121331,20.78431399013379,343480.0,7708.18722460337,0.235,35574576.0,51520,37551,1223227.0,0.062083333333333324
Colorado,2004,756319.0,6527456,435102,2834744,3257610,6869975,3232723,2190563,245429.0,859189,673285.0,44985.54247959053,0.7986710933706634,0.34432505993145984,17.08408988055544,44777.0,8415.73865747789,0.24,4575013.0,50083,35947,172467.0,0.05474999999999999
Connecticut,2004,552505.0,7276945,358769,2520724,4397452,7087023,3896977,2044339,267004.0,587992,561530.0,39915.8628357672,0.8414223065685189,0.3353309071103376,14.305259407767842,34573.0,11754.9681530818,0.14400000000000002,3496094.0,65034,47710,89898.0,0.04958333333333332
Delaware,2004,111520.0,1334523,104492,827110,402921,1373416,709545,393664,57010.0,158252,108751.0,7895.075257977613,0.7936278355039326,0.25960198772900944,15.122764901165823,6951.0,11049.3774769887,0.318,830803.0,69500,39000,27256.0,0.03991666666666667
District of Columbia,2004,65099.0,1081501,167020,0,914481,1087040,515377,397800,36180.0,128227,65625.0,5306.10205848702,0.8187719998420487,0.4358565706536755,14.025110163326465,3031.0,15413.876266666699,,579890.0,160065,51060,26906.0,0.07783333333333334
Florida,2004,2592997.0,21623923,2174314,9593760,9855849,21896220,10411050,6317387,1298226.0,3365514,2418329.0,153822.65321202195,0.7715767737844591,0.24478014231279824,17.19930506428839,131418.0,7269.02086854187,0.206,17415318.0,41736,34063,726784.0,0.04608333333333334
Georgia,2004,1522424.0,14136215,1201843,6333305,6601067,13779680,7492703,3675160,659431.0,1767711,1424004.0,104736.76808602209,0.7479102192782264,0.26036716312099817,15.025815845207992,68550.0,8278.49902528364,0.26,8769252.0,46599,31856,337563.0,0.04758333333333334
Hawaii,2004,183609.0,2138137,236470,1850737,50930,1734591,943647,544864,129740.0,116340,167739.0,11155.325875904204,0.8971668058787232,0.27842742446901275,16.456448337557248,10324.0,9340.65160755698,0.237,1273569.0,48373,34511,60391.0,0.03391666666666667
Idaho,2004,252037.0,1733838,177528,1007906,548404,1744954,943113,507529,72821.0,183197,237095.0,14324.667359187213,0.8091275906353119,0.2245630288459817,17.996071386486072,15547.0,6558.5790210675,0.262,1391802.0000000002,34665,28355,38753.0,0.049333333333333326
Illinois,2004,2079027.0,21082441,1752663,7265072,12064706,21681903,10829189,6608575,737667.0,2342761,1862274.0,132558.44654556463,0.8084534738106748,0.285936725623898,15.886724264390237,124763.0,9709.541470266999,0.16899999999999998,12589773.000000002,50479,36228,177867.0,0.061916666666666675
Indiana,2004,1005587.0,10423578,651058,5044543,4727977,10312694,5005025,2986672,400765.0,913045,943735.0,60162.26579221761,0.7872951967304472,0.21660110313006609,17.069856748159705,56008.0,9033.23452982034,0.197,6233007.0,43143,30479,192505.0,0.05358333333333334
Iowa,2004,481226.0,4396136,353266,1953425,2089445,4443289,2256107,1236810,199965.0,533020,457771.0,35001.01784204671,0.8593189969991281,0.2290117466005765,13.888657482475388,34339.0,8016.66603170581,0.232,2953635.0,44605,31866,83253.0,0.044916666666666674
Kansas,2004,469824.0,4377709,339550,2250069,1788090,3982036,2132173,1229634,174522.0,286696,415529.0,33313.274785888585,0.825786568109492,0.2768268304550132,14.08202893068292,30155.0,8804.24927261394,0.258,2734373.0,40748,30669,104853.0,0.054499999999999986
Kentucky,2004,663886.0,5135262,607212,2968391,1559659,5259909,2723672,1580235,329243.0,499029,570911.0,41849.78702961324,0.804333427705636,0.18998773762967153,16.240267851124262,37787.0,7975.642805971509,0.193,4146101.0,37463,27906,94056.0,0.054083333333333344
Louisiana,2004,721414.0,5713792,785967,2740918,2186907,5708535,3137090,1743781,343543.0,372374,674333.0,44702.0416,0.753106243321739,0.2036453605187679,16.522345287474224,37019.0,7846.21866347932,0.245,4552238.0,44706,27493,183263.0,0.05916666666666667
Maine,2004,201594.0,2228749,190456,870326,1167967,2291174,1304255,590947,87892.0,189418,187492.0,16683.0,0.8293345042782467,0.23667203541953646,11.890467795872844,13278.0,10504.4304343652,0.17,1313687.9999999998,39089,32072,31745.0,0.04641666666666667
Maryland,2004,869113.0,9123493,581542,3436703,5105248,8921938,4963083,2673482,393663.0,581423,808557.0,55642.94217917702,0.8271360791037148,0.3293524904518974,15.514783930530267,52870.0,10139.6111739803,0.18,5546935.0,50547,41550,202326.0,0.04241666666666667
Massachusetts,2004,962488.0,11979937,773841,4726087,6480009,12033345,6883753,3557933,356355.0,570871,932417.0,73457.48342857143,0.861309530844915,0.3612289884891952,13.258257320994975,58326.0,11582.5481463766,0.204,6412281.0,57699,42856,153442.0,0.05141666666666666
Michigan,2004,1738976.0,18663799,1425832,11129404,6108563,20060708,9094564,6332029,828829.0,2127866,1590555.0,98060.696,0.8013650080475009,0.23513746826593945,17.765614921641124,98823.0,10048.721653762399,0.313,10055315.0,42384,32167,305434.0,0.07016666666666667
Minnesota,2004,822245.0,8688315,507014,6019336,2161965,8963393,4506036,2087673,653077.0,1039748,792896.0,51125.8,0.8287859306465148,0.29415256869821443,16.41777421729165,59096.0,8934.34263762209,0.27,5087713.0,51256,37048,154552.0,0.04675
Mississippi,2004,492557.0,3481643,516520,1907476,1057647,3473928,1831472,1035599,216747.0,322751,463470.0,31273.395207157213,0.75278221992929,0.18599601229931406,15.862555401578913,23735.0,6601.43827863724,0.205,2889010.0,30509,25061,80936.0,0.06158333333333332
Missouri,2004,914055.0,7893957,620282,3460158,3813517,7896438,4061388,2357707,449882.0,739399,851749.0,66519.82883566926,0.7942526933746518,0.2318909626263106,13.74576923244288,57983.0,8021.67495353678,0.245,5747741.0,42643,31586,223511.0,0.058583333333333334
Montana,2004,148168.0,1270790,191840,560584,518366,1241417,703730,400634,51163.0,64150,132356.0,10369.336,0.7953331763789853,0.2619539223838757,14.17478000280176,10500.0,8770.57191967119,0.185,930009.0,34870,28128,22015.0,0.047666666666666684
Nebraska,2004,284170.0,2734724,240120,874804,1619800,2667987,1471641,712199,109956.0,296377,260352.0,21236.78547723149,0.8417455523874975,0.2564084366984017,13.448453954343643,20309.0,9269.77372173058,0.147,1749370.0,45488,33444,60177.0,0.03858333333333333
Nevada,2004,385414.0,3069531,221488,1850655,997388,3228619,1544881,839920,99050.0,574726,364409.0,20986.780115674228,0.71675016059718,0.19985248362457742,18.963191333496457,15201.0,6779.69291373155,0.17,2346222.0,52310,35679,98214.0,0.04300000000000001
New Hampshire,2004,203359.0,2194562,119354,968313,1106895,2236010,1195488,607041,64575.0,199297,202352.0,15480.245714285713,0.8185766623604728,0.3110002984064505,13.4187469906747,13309.0,9390.7641239029,0.246,1290121.0,47472,39613,19872.0,0.037750000000000006
New Jersey,2004,1363189.0,21398391,893414,8779155,11725822,21467607,10880932,6888193,744615.0,1970698,1336869.0,112071.09600000002,0.8222611591971141,0.32908411427719797,12.447078088991478,83826.0,13775.990924316398,0.244,8634561.0,56261,43907,211526.0,0.04841666666666666
New Mexico,2004,323066.0,2855893,492102,1989564,374227,2882631,1340535,913532,140297.0,443894,319637.0,21855.152052830672,0.7231605135784881,0.24273888335004504,14.846549649624759,17892.0,7652.789314128209,0.246,1903808.0,41558,27182,73630.0,0.055166666666666656
New York,2004,2842785.0,40820776,3058888,17705556,20056332,42953568,25761741,10702312,1168325.0,3867760,2599902.0,218805.62399999998,0.8101694421928027,0.2983416255207869,12.928760627020946,142526.0,13925.5676002403,0.193,19171567.0,56259,39622,414862.0,0.05808333333333333
North Carolina,2004,1325707.0,10569600,1019981,6115388,3434231,10263463,5585476,2870473,552701.0,943558,1264266.0,92196.25295249847,0.7813362467656441,0.24753468822143132,15.068674312135975,72126.0,7114.499895591591,0.232,8553152.0,43866,30611,336105.0,0.054750000000000014
North Dakota,2004,101889.0,925393,134759,336722,453912,957480,481403,249023,62816.0,97116,96231.0,8006.067428571429,0.8681715444322837,0.25759176929791744,12.497138508424026,7888.0,7790.5941848261,0.158,644705.0,40099,29775,11678.0,0.034083333333333334
Ohio,2004,1797666.0,18878773,1272090,8145107,9461576,19375400,9406363,6384403,811755.0,2139831,1700533.0,118131.89267511404,0.8043757848412344,0.22843810113314708,15.555098340923424,119029.0,9798.68369740546,0.194,11452251.0,44434,31671,375794.0,0.06258333333333332
Oklahoma,2004,625826.0,4622080,593693,2360286,1668101,4400069,2141737,1450284,437723.0,320142,583932.0,41633.787786220215,0.7883075960654066,0.20826115049176172,15.172157331916036,36799.0,6598.89791962078,0.229,3525232.9999999995,36634,28676,149452.0,0.04858333333333335
Oregon,2004,549196.0,5086083,460902,2658285,1966896,5393871,2498566,1559219,168704.0,486745,486073.0,28250.143344509823,0.7858304759944471,0.2697068010293345,19.480189897185163,32958.0,8639.61765825298,0.18,3569462.9999999995,42196,31436,164732.0,0.07283333333333335
Pennsylvania,2004,1756012.0,21104028,1610741,7196172,12297115,22054811,10695295,6251075,859706.0,1941824,1701096.0,120507.82888605117,0.8430008223681641,0.24637251238939975,14.961379176613457,123474.0,10393.4948133439,0.187,12410722.0,44585,34916,277515.0,0.05425
Rhode Island,2004,156997.0,1836758,132370,739698,964690,1745707,1034632,561479,68482.0,28171,143792.0,14151.716,0.8628642291120193,0.2792175105937188,10.851309120751562,9258.0,12278.7450414488,0.159,1074579.0,46310,35757,31166.0,0.051583333333333335
South Carolina,2004,696376.0,5961494,616660,2741127,2603707,6138231,2971895,1780063,332280.0,828530,635750.0,48120.255999999994,0.7782154855527919,0.2321966724030428,14.665933646594151,33235.0,7892.777510027529,0.188,4210920.999999999,37124,27814,190203.0,0.06824999999999999
South Dakota,2004,125156.0,1007135,156117,343216,507802,1012096,521961,306877,44816.0,105677,116651.0,9131.146400000001,0.7989642833790729,0.2466253480483851,13.387833927068186,9001.0,7606.68972404866,0.103,770396.0000000001,42046,32168,13654.0,0.03716666666666667
Tennessee,2004,911624.0,6349101,692353,2743825,2912923,6738601,3843346,1796619,356397.0,574810,859522.0,58764.847372585195,0.7812525528224845,0.20932711549189797,16.005762822878737,46096.0,7046.5414858491085,0.163,5910809.0,41777,30455,254865.0,0.05358333333333334
Texas,2004,4267330.0,36055119,3782724,13201169,19071226,38150452,18291531,10509643,1798316.0,4812152,4016791.0,295256.5513672957,0.7495220177367493,0.24229090460103056,14.962153258412522,244165.0,7711.35219407731,0.28300000000000003,22394023.0,45691,30551,1007982.0,0.05941666666666666
Utah,2004,487311.0,2997200,299200,1654191,1043809,3066684,1552853,739158,224631.0,479463,456183.0,22679.092010704728,0.8241893759797017,0.2744264728084713,22.07711872469803,30252.0,5426.65957959854,0.256,2401580.0,40089,26891,95961.0,0.04966666666666667
Vermont,2004,93705.0,1525776,94546,801169,630061,1550157,700068,368208,34203.0,77287,95160.0,8835.353142857142,0.8641160867327187,0.3036447318947125,11.105635471427084,7100.0,11675.380748213502,0.316,619920.0,41165,34045,13985.0,0.03666666666666667
Virginia,2004,1191035.0,11151172,765353,4241483,6144336,11404055,6006830,3400515,456829.0,1125646,1118446.0,103808.26400000001,0.8414114264640409,0.3113341668761385,11.687572020111983,72042.0,8760.583417527529,0.16899999999999998,7475575.0,50400,38066,197034.0,0.038000000000000006
Washington,2004,1020990.0,8790531,749399,5416352,2624780,9009980,4446860,2579078,407707.0,1217468,937656.0,53176.47107992545,0.790049714460894,0.2908319887157452,19.40081762284828,61274.0,8051.17803437508,0.236,6178645.0,49407,36660,298447.0,0.06258333333333332
West Virginia,2004,280561.0,2585084,290752,1546921,747411,2603996,1458141,784602,168905.0,181816,266078.0,19967.737142857142,0.8100947478692765,0.15327805037722703,13.952730723212316,17339.0,9076.445681341558,0.118,1816438.0,32862,25595,42170.0,0.05316666666666668
Wisconsin,2004,874233.0,9183588,550729,4732025,3900834,9126345,4936038,2846939,361605.0,540870,826864.0,60142.1148260987,0.845156348327651,0.24070838691522042,14.555918516506278,62784.0,9833.87371441978,0.181,5514026.0,44455,33246,145068.0,0.05025
Wyoming,2004,86925.0,974888,95995,507155,371738,953916,483989,303976,28257.0,126574,78652.0,6706.616,0.8275386765027511,0.22321876402537214,12.609784676892229,5833.0,10350.5572903423,0.14,509106.0,55848,34974,16566.0,0.03816666666666667
Alabama,2005,729342.0,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605.0,511944,706588.0,57757.0,0.7636476960547213,0.2082928248639725,12.84279,37453.0,7308.93468046443,0.234,4569805.0,37578,29802,144264.0,0.044999999999999984
Alaska,2005,132568.0,1599739,302846,878731,418162,1751718,829666,559084,55782.0,268700,121699.0,7912.0,0.8129608197084769,0.2732725171467765,16.84631,6909.0,11851.114774977601,0.125,666946.0,61125,38876,23460.0,0.06883333333333334
Arizona,2005,919875.0,7550109,897553,3320196,3332360,7136794,3423716,2264931,351097.0,861286,911640.0,51376.0,0.7470205270651844,0.25170631268268445,21.30283,59498.0,7217.713877188359,0.196,5839076.999999999,43018,32288,275749.0,0.04666666666666667
Arkansas,2005,461667.0,3978240,447012,2995788,535440,3999608,2118580,1173643,200865.0,393713,430290.0,32997.0,0.7745856893007612,0.17589905277377693,14.37119,26621.0,8243.27448464989,0.193,2781097.0,35649,27952,107989.0,0.052250000000000005
California,2005,6307022.0,62171797,7148863,34912166,20110768,66196072,31070450,18046385,3132465.0,10223657,6349270.0,309222.0,0.7749797613412088,0.2892394834671866,20.81741,355217.0,7988.5443668526905,0.257,35827943.0,53320,39521,1195379.0,0.05399999999999999
Colorado,2005,765388.0,6910296,472246,2954915,3483135,7284280,3380399,2343655,260280.0,918985,700485.0,45841.0,0.8080286713360962,0.3482117794597794,17.01154,44532.0,8557.556434470409,0.242,4631888.0,51473,38025,182537.0,0.05025
Connecticut,2005,552512.0,7898694,401558,2886076,4611060,7452057,4177845,2200133,277388.0,496778,559478.0,39687.0,0.8501436869740175,0.3399298965141846,14.48986,35515.0,12655.3607005101,0.146,3506955.9999999995,66032,50226,83395.0,0.04875
Delaware,2005,112562.0,1431710,106513,894498,430699,1480157,761786,424220,62086.0,172879,110393.0,7998.0,0.79924260337814,0.26240526243903955,15.12091,6934.0,11770.208111021499,0.266,845150.0,67525,39469,26599.0,0.04141666666666666
District of Columbia,2005,62306.0,1109605,167922,0,941683,1085658,459063,450060,38671.0,134417,70817.0,5481.0,0.8276516240375879,0.4478525314989126,14.02591,2781.0,15074.063106316298,,582049.0,163100,53870,26129.0,0.06383333333333333
Florida,2005,2645280.0,23216404,2328513,9940813,10947078,23857012,11270907,6876508,1363005.0,3803764,2463323.0,158962.0,0.7823355954147123,0.2487090667798867,16.82807,133318.0,7730.5644651554,0.197,17842038.0,43326,36268,710810.0,0.03683333333333333
Georgia,2005,1552758.0,14724731,1375318,6449103,6900310,14492666,7886069,3954215,658022.0,1794894,1460767.0,108535.0,0.7574171298978811,0.2637653680426619,14.72761,70834.0,8576.90226915039,0.266,8925921.999999998,47610,33266,347383.0,0.053249999999999985
Hawaii,2005,183185.0,2274166,236973,1986615,50578,1765805,1007207,559178,137949.0,61471,169825.0,11226.0,0.9017051328794368,0.28185405331353863,16.28523,10813.0,9704.61430295893,0.22,1292729.0,50145,36528,51727.0,0.02858333333333334
Idaho,2005,253782.0,1796035,192039,1023550,580446,1819519,989703,531569,77321.0,181622,241590.0,14521.0,0.8166749923242618,0.2278135335322246,18.04159,15768.0,6698.18829835672,0.254,1428241.0,35895,29311,38200.0,0.040333333333333325
Illinois,2005,2072437.0,21611180,1835598,7152163,12623419,22035569,11063949,6900767,755227.0,2137191,1862046.0,133857.0,0.8177017959953581,0.2908577252116907,15.77584,123615.0,10020.3902610354,0.214,12609903.0,51237,37648,167883.0,0.05683333333333334
Indiana,2005,1014528.0,11653165,708922,5224277,5719966,11071431,5343758,3228234,413599.0,982893,944944.0,60592.0,0.7915244870430911,0.22051226275096647,17.08268,55444.0,9639.65153278924,0.206,6278616.0,42826,31077,195361.0,0.05466666666666666
Iowa,2005,478319.0,4638125,363930,2051926,2222269,4599549,2323233,1301312,214893.0,538313,456559.0,35181.0,0.8663481348659736,0.23317670345274083,13.7427,33547.0,8341.08976057859,0.233,2964454.0,45554,32609,82986.0,0.04250000000000001
Kansas,2005,468481.0,4223632,356865,2360120,1506647,4076597,2174402,1257432,183824.0,308365,411455.0,33608.0,0.8335063237698157,0.28119310877583725,13.91112,30355.0,9036.59660473199,0.263,2745299.0000000005,41736,32268,98343.0,0.050083333333333334
Kentucky,2005,674502.0,5444309,646215,3121503,1676591,5750671,2864633,1660844,336579.0,741433,574380.0,42413.0,0.8140154648583523,0.19370143971385712,16.02994,38399.0,8378.75838817508,0.201,4182742.0,38205,29013,94308.0,0.058666666666666666
Louisiana,2005,717625.0,5975074,844640,2787542,2342892,5941561,3264689,1854202,362965.0,350658,670238.0,44660.0,0.7602694964828012,0.20640970569896494,16.6,36009.0,8287.75190007132,0.249,4576628.0,47004,29422,146088.0,0.07125000000000001
Maine,2005,198745.0,2324789,197651,895595,1231543,2325138,1355800,620991,96318.0,128520,184374.0,16684.0,0.8382371777898996,0.24064819242256869,11.71769,13077.0,11152.690135268502,0.174,1318787.0,38961,32669,31651.0,0.04875
Maryland,2005,865561.0,9906219,670998,3729262,5505959,9782665,5154440,2934277,407619.0,947970,804696.0,56685.0,0.8335966663908482,0.33421985548911426,15.17191,54170.0,10789.8957966735,0.184,5592379.0,51960,43302,198474.0,0.04125
Massachusetts,2005,955225.0,12976279,761359,5434971,6779949,12726283,7203922,3750687,391078.0,803602,930338.0,73596.0,0.8683350884229186,0.3671708063185647,13.206,59665.0,12208.3124133379,0.203,6403290.0,58776,44842,146847.0,0.04849999999999999
Michigan,2005,1721351.0,19106382,1513264,10990030,6603088,20489512,9269314,6479470,841610.0,1937442,1583496.0,98069.0,0.8101000709682471,0.23890191109000009,17.76588,101582.0,10327.7309598509,0.308,10051136.999999998,42919,32813,308250.0,0.06783333333333334
Minnesota,2005,814660.0,8777363,529037,5912340,2335986,9082593,4637773,2157574,646632.0,937357,788354.0,51107.0,0.8366412849528116,0.298985003802061,16.42129,58391.0,9272.84499095584,0.284,5119598.0,52246,37775,156024.0,0.04066666666666666
Mississippi,2005,494382.0,3639643,552628,1958500,1128515,3610904,1935459,1096574,231190.0,281713,463816.0,31433.0,0.7622273384984265,0.1892680456771729,15.74632,23523.0,6993.91068656536,0.221,2905942.9999999995,30813,26574,75061.0,0.075
Missouri,2005,902659.0,8340865,694008,3640728,4006129,8170965,4224716,2452665,457530.0,708726,851114.0,67076.0,0.8016185759059486,0.2361365063131913,13.68157,57841.0,8359.87546556631,0.243,5790300.0,42806,32430,226720.0,0.05375
Montana,2005,146552.0,1293070,191687,578321,523062,1268328,721019,412180,53055.0,59998,130998.0,10369.0,0.8005941728913969,0.2664646252020668,14.02411,10335.0,9108.39755568787,0.18,940102.0,36120,29765,26997.0,0.04325
Nebraska,2005,284553.0,2895640,295968,878576,1721096,2708776,1487488,751435,127968.0,264339,260725.0,21359.0,0.8480796292948768,0.26064940950936577,13.420379999999998,19940.0,9638.17679547416,0.141,1761497.0,46062,34130,58206.0,0.038000000000000006
Nevada,2005,399727.0,3381646,251421,1996995,1133230,3483540,1665706,926213,115483.0,584219,378186.0,21744.0,0.7281930629400395,0.20380403887415613,18.96592,15740.0,7198.2149259888,0.16,2432143.0,54790,38637,102289.0,0.04091666666666667
New Hampshire,2005,202223.0,2332695,125956,878957,1327782,2333264,1261140,651058,65668.0,163780,201242.0,15536.0,0.8289163530803115,0.3157807012908914,13.24453,13775.0,10043.3521431908,0.219,1298492.0,48357,40922,20832.0,0.035750000000000004
New Jersey,2005,1368959.0,23026334,937945,9340953,12747436,23023365,11575456,7408034,817943.0,2179605,1341156.0,112673.0,0.8331893131840664,0.3348703701192248,12.3863,86502.0,14666.135769440703,0.236,8651974.0,56768,45354,203393.0,0.044500000000000005
New Mexico,2005,326102.0,2982991,480888,2102670,399433,3011696,1395996,955266,149000.0,466166,322046.0,22021.0,0.7307061766136509,0.2446211546926068,14.83847,17353.0,7932.5261981207705,0.279,1932274.0,41193,28755,74932.0,0.050833333333333335
New York,2005,2816426.0,43936450,3156023,19202847,21577580,45086872,27866708,11303872,1182179.0,3342778,2581772.0,218989.0,0.8198046698818076,0.30376337028482203,12.85718,153203.0,15054.332214076201,0.197,19132610.0,58502,41457,400551.0,0.05
North Carolina,2005,1347177.0,11098165,1116670,6440768,3540727,10917913,6160224,3039968,580213.0,791873,1289444.0,95664.0,0.7898602478492,0.25188050674143564,14.80636,75010.0,7627.74479543121,0.21600000000000005,8705407.0,45042,32238,343559.0,0.052416666666666674
North Dakota,2005,100413.0,969520,148482,341066,479972,985502,501563,258404,64839.0,88341,94823.0,8003.0,0.8750866519263362,0.2625654944506796,12.28077,7555.0,8775.8952047499,0.146,646089.0,41272,31521,12064.0,0.03374999999999999
Ohio,2005,1778784.0,19746239,1413888,8313858,10018493,19785561,9700668,6526386,830761.0,2046199,1719566.0,117982.0,0.8118388198843145,0.23205550520431262,15.59291,116702.0,9983.83652677478,0.19,11463320.0,44684,32523,366970.0,0.059083333333333314
Oklahoma,2005,629145.0,4892548,678448,2440741,1773359,4785987,2303527,1569038,467321.0,397131,587188.0,41833.0,0.7955706573198713,0.21092193194186268,15.17316,36227.0,7086.35668133545,0.21600000000000005,3548597.0,37662,31062,143285.0,0.04458333333333333
Oregon,2005,550502.0,5022050,498217,2440758,2083075,5597579,2671228,1680005,181133.0,364717,506638.0,28346.0,0.7954331309836624,0.27367362754929436,19.48049,32602.0,8799.236596939041,0.14800000000000002,3613202.0,42558,32421,158772.0,0.06183333333333335
Pennsylvania,2005,1755560.0,22657782,1750988,7667114,13239680,23183924,11284717,6638401,920319.0,1914407,1698795.0,122397.0,0.851067162555859,0.25096591826452747,14.95694,124758.0,11014.3364726174,0.187,12449990.0,45035,36247,279129.0,0.049666666666666665
Rhode Island,2005,153596.0,1903472,145957,747359,1010156,1790591,1023496,616544,74850.0,20070,143939.0,14180.0,0.87099274899864,0.28434080238356274,10.81961,9881.0,12685.2378229667,0.162,1067916.0000000002,47176,36927,29118.0,0.05041666666666667
South Carolina,2005,701176.0,6337711,639308,2832245,2866158,6572191,3134658,1903030,342107.0,938347,639950.0,48212.0,0.7856690867118683,0.23618700211996507,14.55123,33439.0,8301.803867489649,0.17800000000000002,4270150.0,37397,28958,184827.0,0.06716666666666668
South Dakota,2005,124862.0,1053504,176738,350316,526450,1059303,539413,316892,46872.0,124727,115148.0,9129.0,0.8031649726827,0.2515571648584612,13.36532,8585.0,7959.8666064543,0.098,775493.0,42762,33772,12556.0,0.038000000000000006
Tennessee,2005,940769.0,6806262,787269,2962151,3056842,7067521,4120045,1907907,378064.0,483208,868129.0,59596.0,0.7907287385083955,0.21293917214265023,16.00658,47967.0,7425.959515233341,0.16,5991057.0,41868,31439,254836.0,0.055583333333333325
Texas,2005,4334611.0,37783715,4095588,13017433,20670694,40302144,18950703,10963041,1883727.0,5592231,4084792.0,302425.0,0.7618858539641293,0.24520739337755082,14.96369,239717.0,7814.13272719884,0.273,22778123.0,45966,32793,989699.0,0.05408333333333332
Utah,2005,488055.0,3181279,326400,1729443,1125436,3188018,1632553,771298,241992.0,467720,464645.0,22993.0,0.830827954132622,0.27772495969745786,22.11238,30253.0,5653.82604138644,0.253,2457719.0,41657,28759,95002.0,0.04075
Vermont,2005,92819.0,1628681,95016,1090494,443171,1634534,739981,392627,36577.0,63280,93608.0,8851.0,0.8721471270347926,0.30871542104123006,10.91831,7152.0,12578.8205495257,0.355,621215.0,41588,34668,13895.0,0.034916666666666665
