state,year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,avg_attendence_elem_secd_schools,teachers_elem_secd_schools,high_school_completers_18_to_24,bachelor_completers_over_25,pupil_teacher_ratio,pub_high_school_graduates,expenditure_per_pupil,edu_expenditure_percent_gov_income,population,gdp_per_capita,income_per_capita,known_property_crimes,unemployment_rate
Kentucky,2000,646467.0,4330089,426956,2612740,1290393,4510972,2345581,1284053,260400.0,515109,565693.0,39589.0,0.749331932030155,0.171,16.819065902144498,36830.0,6784.234837623941,0.209,4049021.0,35513,24819,45650.0,0.04166666666666667
Louisiana,2000,750755.0,4785331,556240,2361704,1867387,4807097,2601684,1384760,307212.0,414669,701957.0,49915.2,0.72314784603888,0.187,14.8870284001667,38430.0,6255.63778123162,0.205,4471885.0,40679,23692,199945.0,0.053
Maine,2000,209012.0,1792390,104497,761317,926576,1842276,1053067,474866,77649.0,143112,194554.0,16559.0,0.7890189520624301,0.229,12.5029893109487,12211.0,8246.7464148771,0.198,1277072.0,36503,27345,31880.0,0.03358333333333334
Maryland,2000,846582.0,7419047,409021,2804218,4205808,7355698,3874590,2189499,300044.0,760810,791133.0,52433.0,0.7962799907033291,0.314,16.2668548433239,47849.0,8273.116065187522,0.175,5311034.000000001,45619,35487,214440.0,0.035833333333333335
Massachusetts,2000,958907.0,9464271,480898,3926522,5056851,9466363,5624037,2503616,323913.0,533702,913502.0,67432.0,0.822121047503255,0.332,14.461235021948,52950.0,9374.95340240087,0.16699999999999998,6361104.0,54736,38547,158753.0,0.02708333333333333
Michigan,2000,1700074.0,15939477,1030238,9942275,4966964,16580526,7709336,5109653,742727.0,1866666,1574894.0,97031.0,0.7645595048112289,0.218,17.732745205140606,97679.0,8885.863950843679,0.313,9952450.0,42225,30391,343233.0,0.036500000000000005
Minnesota,2000,839839.0,7344747,330914,4265438,2748395,7736391,3825732,1942294,531329.0,901829,818819.0,53457.0,0.792880845933055,0.274,15.981817161456899,57372.0,7499.144655900749,0.248,4933692.0,47577,32247,155293.0,0.03141666666666667
Mississippi,2000,499362.0,2743284,368830,1504225,870229,2996474,1524728,810371,183118.0,421075,468746.0,31006.0,0.7132734534129319,0.16899999999999998,16.057246984454597,24232.0,5355.514521723921,0.217,2848353.0,29166,21535,84888.0,0.053583333333333344
Missouri,2000,913517.0,6675260,437898,3097822,3139540,6708608,3459281,1913563,374060.0,756817,836105.0,64735.0,0.7649545210341391,0.21600000000000005,14.099698771916303,52848.0,6764.13928035354,0.24,5607285.0,41920,27982,208785.0,0.03583333333333333
Montana,2000,157381.0,1104935,130928,487115,486892,1051768,613132,327975,41385.0,57419,142313.0,10411.0,0.785612518976994,0.244,14.8760925943713,10903.0,6990.017377189721,0.206,903773.0,31899,23315,16894.0,0.0495
