state,year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,avg_attendence_elem_secd_schools,teachers_elem_secd_schools,high_school_completers_18_to_24,bachelor_completers_over_25,pupil_teacher_ratio,pub_high_school_graduates,expenditure_per_pupil,edu_expenditure_percent_gov_income,population,gdp_per_capita,state_tax_collection,income_per_capita,known_property_crimes,unemployment_rate
Hawaii,2004,183609.0,2138137,236470,1850737,50930,1734591,943647,544864,129740.0,116340,167739.0,,,,,10324.0,9340.65160755698,0.237,1273569.0,48373,58119000.0,34511,60391.0,0.03391666666666667
Idaho,2004,252037.0,1733838,177528,1007906,548404,1744954,943113,507529,72821.0,183197,237095.0,,,,,15547.0,6558.5790210675,0.262,1391802.0000000002,34665,103784000.0,28355,38753.0,0.049333333333333326
Illinois,2004,2079027.0,21082441,1752663,7265072,12064706,21681903,10829189,6608575,737667.0,2342761,1862274.0,,,,,124763.0,9709.541470266999,0.16899999999999998,12589773.000000002,50479,1278538000.0,36228,177867.0,0.061916666666666675
Indiana,2004,1005587.0,10423578,651058,5044543,4727977,10312694,5005025,2986672,400765.0,913045,943735.0,,,,,56008.0,9033.23452982034,0.19699999999999998,6233007.0,43143,644787000.0,30479,192505.0,0.05358333333333334
Iowa,2004,481226.0,4396136,353266,1953425,2089445,4443289,2256107,1236810,199965.0,533020,457771.0,,,,,34339.0,8016.6660317058095,0.23199999999999998,2953635.0,44605,89826000.0,31866,83253.0,0.044916666666666674
Kansas,2004,469824.0,4377709,339550,2250069,1788090,3982036,2132173,1229634,174522.0,286696,415529.0,,,,,30155.0,8804.24927261394,0.258,2734373.0,40748,166609000.0,30669,104853.0,0.05449999999999999
Kentucky,2004,663886.0,5135262,607212,2968391,1559659,5259909,2723672,1580235,329243.0,499029,570911.0,,,,,37787.0,7975.642805971509,0.193,4146100.9999999995,37463,381538000.0,27906,94056.0,0.054083333333333344
Louisiana,2004,721414.0,5713792,785967,2740918,2186907,5708535,3137090,1743781,343543.0,372374,674333.0,,,,,37019.0,7846.21866347932,0.245,4552238.0,44706,236745000.0,27493,183263.0,0.05916666666666667
Maine,2004,201594.0,2228749,190456,870326,1167967,2291174,1304255,590947,87892.0,189418,187492.0,,,,,13278.0,10504.4304343652,0.17,1313687.9999999998,39089,111616000.0,32072,31745.0,0.04641666666666667
Maryland,2004,869113.0,9123493,581542,3436703,5105248,8921938,4963083,2673482,393663.0,581423,808557.0,,,,,52870.0,10139.6111739803,0.18,5546935.0,50547,569700000.0,41550,202326.0,0.04241666666666667
Massachusetts,2004,962488.0,11979937,773841,4726087,6480009,12033345,6883753,3557933,356355.0,570871,932417.0,,,,,58326.0,11582.5481463766,0.204,6412281.0,57699,1301076000.0,42856,153442.0,0.051416666666666666
Michigan,2004,1738976.0,18663799,1425832,11129404,6108563,20060708,9094564,6332029,828829.0,2127866,1590555.0,,,,,98823.0,10048.721653762399,0.313,10055315.0,42384,1841010000.0,32167,305434.0,0.07016666666666667
Minnesota,2004,822245.0,8688315,507014,6019336,2161965,8963393,4506036,2087673,653077.0,1039748,792896.0,,,,,59096.0,8934.34263762209,0.27,5087713.0,51256,637183000.0,37048,154552.0,0.04675
Mississippi,2004,492557.0,3481643,516520,1907476,1057647,3473928,1831472,1035599,216747.0,322751,463470.0,,,,,23735.0,6601.43827863724,0.205,2889010.0,30509,243846000.0,25061,80936.0,0.06158333333333332
Missouri,2004,914055.0,7893957,620282,3460158,3813517,7896438,4061388,2357707,449882.0,739399,851749.0,,,,,57983.0,8021.67495353678,0.245,5747741.0,42643,224366000.0,31586,223511.0,0.05858333333333334
Montana,2004,148168.0,1270790,191840,560584,518366,1241417,703730,400634,51163.0,64150,132356.0,,,,,10500.0,8770.57191967119,0.185,930008.9999999999,34870,67723000.0,28128,22015.0,0.04766666666666668
Nebraska,2004,284170.0,2734724,240120,874804,1619800,2667987,1471641,712199,109956.0,296377,260352.0,,,,,20309.0,9269.77372173058,0.147,1749370.0,45488,167429000.0,33444,60177.0,0.03858333333333333
Nevada,2004,385414.0,3069531,221488,1850655,997388,3228619,1544881,839920,99050.0,574726,364409.0,,,,,15201.0,6779.69291373155,0.17,2346222.0,52310,,35679,98214.0,0.04300000000000001
New Hampshire,2004,203359.0,2194562,119354,968313,1106895,2236010,1195488,607041,64575.0,199297,202352.0,,,,,13309.0,9390.7641239029,0.24600000000000002,1290121.0,47472,407603000.0,39613,19872.0,0.037750000000000006
New Jersey,2004,1363189.0,21398391,893414,8779155,11725822,21467607,10880932,6888193,744615.0,1970698,1336869.0,,,,,83826.0,13775.990924316398,0.244,8634561.0,56261,1896998000.0,43907,211526.0,0.04841666666666666
New Mexico,2004,323066.0,2855893,492102,1989564,374227,2882631,1340535,913532,140297.0,443894,319637.0,,,,,17892.0,7652.789314128209,0.24600000000000002,1903808.0,41558,138196000.0,27182,73630.0,0.055166666666666656
New York,2004,2842785.0,40820776,3058888,17705556,20056332,42953568,25761741,10702312,1168325.0,3867760,2599902.0,,,,,142526.0,13925.5676002403,0.193,19171567.0,56259,2044504000.0,39622,414862.0,0.058083333333333334
North Carolina,2004,1325707.0,10569600,1019981,6115388,3434231,10263463,5585476,2870473,552701.0,943558,1264266.0,,,,,72126.0,7114.499895591591,0.23199999999999998,8553152.0,43866,837085000.0,30611,336105.0,0.05475000000000001
North Dakota,2004,101889.0,925393,134759,336722,453912,957480,481403,249023,62816.0,97116,96231.0,,,,,7888.0,7790.5941848261,0.158,644705.0,40099,49807000.0,29775,11678.0,0.03408333333333333
Ohio,2004,1797666.0,18878773,1272090,8145107,9461576,19375400,9406363,6384403,811755.0,2139831,1700533.0,,,,,119029.0,9798.683697405459,0.19399999999999998,11452251.0,44434,1060594000.0,31671,375794.0,0.06258333333333332
Oklahoma,2004,625826.0,4622080,593693,2360286,1668101,4400069,2141737,1450284,437723.0,320142,583932.0,,,,,36799.0,6598.89791962078,0.22899999999999998,3525232.9999999995,36634,133309000.0,28676,149452.0,0.04858333333333335
Oregon,2004,549196.0,5086083,460902,2658285,1966896,5393871,2498566,1559219,168704.0,486745,486073.0,,,,,32958.0,8639.61765825298,0.18,3569462.9999999995,42196,320065000.0,31436,164732.0,0.07283333333333335
Pennsylvania,2004,1756012.0,21104028,1610741,7196172,12297115,22054811,10695295,6251075,859706.0,1941824,1701096.0,,,,,123474.0,10393.4948133439,0.187,12410722.0,44585,1677998000.0,34916,277515.0,0.05425
Rhode Island,2004,156997.0,1836758,132370,739698,964690,1745707,1034632,561479,68482.0,28171,143792.0,,,,,9258.0,12278.7450414488,0.159,1074579.0,46310,69479000.0,35757,31166.0,0.051583333333333335
South Carolina,2004,696376.0,5961494,616660,2741127,2603707,6138231,2971895,1780063,332280.0,828530,635750.0,,,,,33235.0,7892.777510027529,0.188,4210920.999999999,37124,196510000.0,27814,190203.0,0.06824999999999999
South Dakota,2004,125156.0,1007135,156117,343216,507802,1012096,521961,306877,44816.0,105677,116651.0,,,,,9001.0,7606.68972404866,0.10300000000000001,770396.0000000001,42046,47108000.0,32168,13654.0,0.03716666666666667
Tennessee,2004,911624.0,6349101,692353,2743825,2912923,6738601,3843346,1796619,356397.0,574810,859522.0,,,,,46096.0,7046.5414858491085,0.163,5910809.0,41777,694798000.0,30455,254865.0,0.05358333333333334
Texas,2004,4267330.0,36055119,3782724,13201169,19071226,38150452,18291531,10509643,1798316.0,4812152,4016791.0,,,,,244165.0,7711.35219407731,0.28300000000000003,22394022.999999996,45691,,30551,1007982.0,0.05941666666666666
Utah,2004,487311.0,2997200,299200,1654191,1043809,3066684,1552853,739158,224631.0,479463,456183.0,,,,,30252.0,5426.65957959854,0.256,2401580.0,40089,145005000.0,26891,95961.0,0.04966666666666667
Vermont,2004,93705.0,1525776,94546,801169,630061,1550157,700068,368208,34203.0,77287,95160.0,,,,,7100.0,11675.380748213502,0.316,619920.0,41165,62228000.0,34045,13985.0,0.03666666666666667
Virginia,2004,1191035.0,11151172,765353,4241483,6144336,11404055,6006830,3400515,456829.0,1125646,1118446.0,,,,,72042.0,8760.583417527529,0.16899999999999998,7475575.0,50400,422119000.0,38066,197034.0,0.038000000000000006
Washington,2004,1020990.0,8790531,749399,5416352,2624780,9009980,4446860,2579078,407707.0,1217468,937656.0,,,,,61274.0,8051.17803437508,0.23600000000000002,6178645.0,49407,,36660,298447.0,0.06258333333333332
West Virginia,2004,280561.0,2585084,290752,1546921,747411,2603996,1458141,784602,168905.0,181816,266078.0,,,,,17339.0,9076.445681341558,0.11800000000000001,1816437.9999999998,32862,181515000.0,25595,42170.0,0.053166666666666675
Wisconsin,2004,874233.0,9183588,550729,4732025,3900834,9126345,4936038,2846939,361605.0,540870,826864.0,,,,,62784.0,9833.87371441978,0.18100000000000002,5514026.0,44455,681990000.0,33246,145068.0,0.050249999999999996
Wyoming,2004,86925.0,974888,95995,507155,371738,953916,483989,303976,28257.0,126574,78652.0,,,,,5833.0,10350.5572903423,0.14,509106.0,55848,,34974,16566.0,0.03816666666666667
Alabama,2005,729342.0,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605.0,511944,706588.0,57757.0,,,12.842789999999999,37453.0,7308.93468046443,0.23399999999999999,4569805.0,37578,397308000.0,29802,144264.0,0.04499999999999999
Alaska,2005,132568.0,1599739,302846,878731,418162,1751718,829666,559084,55782.0,268700,121699.0,7912.0,,,16.84631,6909.0,11851.114774977601,0.125,666946.0,61125,588694000.0,38876,23460.0,0.06883333333333334
Arizona,2005,919875.0,7550109,897553,3320196,3332360,7136794,3423716,2264931,351097.0,861286,911640.0,51376.0,,,21.30283,59498.0,7217.713877188359,0.196,5839076.999999999,43018,701859000.0,32288,275749.0,0.04666666666666667
Arkansas,2005,461667.0,3978240,447012,2995788,535440,3999608,2118580,1173643,200865.0,393713,430290.0,32997.0,,,14.371189999999999,26621.0,8243.27448464989,0.193,2781097.0,35649,277311000.0,27952,107989.0,0.052250000000000005
California,2005,6307022.0,62171797,7148863,34912166,20110768,66196072,31070450,18046385,3132465.0,10223657,6349270.0,309222.0,,,20.81741,355217.0,7988.5443668526905,0.257,35827943.0,53320,8670065000.0,39521,1195379.0,0.053999999999999986
Colorado,2005,765388.0,6910296,472246,2954915,3483135,7284280,3380399,2343655,260280.0,918985,700485.0,45841.0,,,17.01154,44532.0,8557.556434470409,0.242,4631888.0,51473,315834000.0,38025,182537.0,0.050249999999999996
Connecticut,2005,552512.0,7898694,401558,2886076,4611060,7452057,4177845,2200133,277388.0,496778,559478.0,39687.0,,,14.48986,35515.0,12655.3607005101,0.146,3506955.9999999995,66032,574984000.0,50226,83395.0,0.04875
Delaware,2005,112562.0,1431710,106513,894498,430699,1480157,761786,424220,62086.0,172879,110393.0,7998.0,,,15.12091,6934.0,11770.208111021499,0.266,845150.0,67525,248869000.0,39469,26599.0,0.041416666666666664
District of Columbia,2005,62306.0,1109605,167922,0,941683,1085658,459063,450060,38671.0,134417,70817.0,5481.0,,,14.025910000000001,2781.0,15074.063106316298,,582049.0,163100,,53870,26129.0,0.06383333333333333
Florida,2005,2645280.0,23216404,2328513,9940813,10947078,23857012,11270907,6876508,1363005.0,3803764,2463323.0,158962.0,,,16.82807,133318.0,7730.5644651554,0.19699999999999998,17842038.0,43326,1785213000.0,36268,710810.0,0.03683333333333333
Georgia,2005,1552758.0,14724731,1375318,6449103,6900310,14492666,7886069,3954215,658022.0,1794894,1460767.0,108535.0,,,14.72761,70834.0,8576.90226915039,0.266,8925921.999999998,47610,712310000.0,33266,347383.0,0.05324999999999999
Hawaii,2005,183185.0,2274166,236973,1986615,50578,1765805,1007207,559178,137949.0,61471,169825.0,11226.0,,,16.28523,10813.0,9704.61430295893,0.22,1292729.0,50145,124125000.0,36528,51727.0,0.02858333333333334
Idaho,2005,253782.0,1796035,192039,1023550,580446,1819519,989703,531569,77321.0,181622,241590.0,14521.0,,,18.04159,15768.0,6698.18829835672,0.254,1428241.0,35895,140585000.0,29311,38200.0,0.040333333333333325
Illinois,2005,2072437.0,21611180,1835598,7152163,12623419,22035569,11063949,6900767,755227.0,2137191,1862046.0,133857.0,,,15.775839999999999,123615.0,10020.3902610354,0.214,12609903.0,51237,2183066000.0,37648,167883.0,0.05683333333333334
Indiana,2005,1014528.0,11653165,708922,5224277,5719966,11071431,5343758,3228234,413599.0,982893,944944.0,60592.0,,,17.08268,55444.0,9639.651532789241,0.20600000000000002,6278616.0,42826,824802000.0,31077,195361.0,0.05466666666666666
Iowa,2005,478319.0,4638125,363930,2051926,2222269,4599549,2323233,1301312,214893.0,538313,456559.0,35181.0,,,13.7427,33547.0,8341.08976057859,0.233,2964454.0,45554,186469000.0,32609,82986.0,0.04250000000000001
Kansas,2005,468481.0,4223632,356865,2360120,1506647,4076597,2174402,1257432,183824.0,308365,411455.0,33608.0,,,13.91112,30355.0,9036.59660473199,0.263,2745299.0000000005,41736,248085000.0,32268,98343.0,0.05008333333333333
Kentucky,2005,674502.0,5444309,646215,3121503,1676591,5750671,2864633,1660844,336579.0,741433,574380.0,42413.0,,,16.02994,38399.0,8378.75838817508,0.201,4182742.0,38205,478505000.0,29013,94308.0,0.058666666666666666
Louisiana,2005,717625.0,5975074,844640,2787542,2342892,5941561,3264689,1854202,362965.0,350658,670238.0,44660.0,,,16.6,36009.0,8287.75190007132,0.249,4576628.0,47004,352136000.0,29422,146088.0,0.07125000000000001
Maine,2005,198745.0,2324789,197651,895595,1231543,2325138,1355800,620991,96318.0,128520,184374.0,16684.0,,,11.71769,13077.0,11152.690135268502,0.174,1318787.0,38961,135863000.0,32669,31651.0,0.04875
Maryland,2005,865561.0,9906219,670998,3729262,5505959,9782665,5154440,2934277,407619.0,947970,804696.0,56685.0,,,15.17191,54170.0,10789.8957966735,0.184,5592379.0,51960,807054000.0,43302,198474.0,0.041249999999999995
Massachusetts,2005,955225.0,12976279,761359,5434971,6779949,12726283,7203922,3750687,391078.0,803602,930338.0,73596.0,,,13.206,59665.0,12208.3124133379,0.203,6403290.0,58776,1332796000.0,44842,146847.0,0.04849999999999999
Michigan,2005,1721351.0,19106382,1513264,10990030,6603088,20489512,9269314,6479470,841610.0,1937442,1583496.0,98069.0,,,17.76588,101582.0,10327.7309598509,0.308,10051136.999999998,42919,1907190000.0,32813,308250.0,0.06783333333333334
Minnesota,2005,814660.0,8777363,529037,5912340,2335986,9082593,4637773,2157574,646632.0,937357,788354.0,51107.0,,,16.42129,58391.0,9272.84499095584,0.284,5119598.0,52246,933896000.0,37775,156024.0,0.04066666666666666
Mississippi,2005,494382.0,3639643,552628,1958500,1128515,3610904,1935459,1096574,231190.0,281713,463816.0,31433.0,,,15.74632,23523.0,6993.91068656536,0.221,2905942.9999999995,30813,283231000.0,26574,75061.0,0.075
Missouri,2005,902659.0,8340865,694008,3640728,4006129,8170965,4224716,2452665,457530.0,708726,851114.0,67076.0,,,13.68157,57841.0,8359.87546556631,0.243,5790300.0,42806,218229000.0,32430,226720.0,0.05375
Montana,2005,146552.0,1293070,191687,578321,523062,1268328,721019,412180,53055.0,59998,130998.0,10369.0,,,14.02411,10335.0,9108.39755568787,0.18,940102.0,36120,98214000.0,29765,26997.0,0.043250000000000004
Nebraska,2005,284553.0,2895640,295968,878576,1721096,2708776,1487488,751435,127968.0,264339,260725.0,21359.0,,,13.420379999999998,19940.0,9638.176795474159,0.141,1761497.0,46062,198380000.0,34130,58206.0,0.038000000000000006
Nevada,2005,399727.0,3381646,251421,1996995,1133230,3483540,1665706,926213,115483.0,584219,378186.0,21744.0,,,18.96592,15740.0,7198.2149259888,0.16,2432143.0,54790,,38637,102289.0,0.04091666666666667
New Hampshire,2005,202223.0,2332695,125956,878957,1327782,2333264,1261140,651058,65668.0,163780,201242.0,15536.0,,,13.24453,13775.0,10043.3521431908,0.21899999999999997,1298492.0,48357,476489000.0,40922,20832.0,0.035750000000000004
New Jersey,2005,1368959.0,23026334,937945,9340953,12747436,23023365,11575456,7408034,817943.0,2179605,1341156.0,112673.0,,,12.3863,86502.0,14666.135769440702,0.23600000000000002,8651974.0,56768,2224633000.0,45354,203393.0,0.044500000000000005
New Mexico,2005,326102.0,2982991,480888,2102670,399433,3011696,1395996,955266,149000.0,466166,322046.0,22021.0,,,14.838470000000001,17353.0,7932.5261981207705,0.27899999999999997,1932274.0,41193,242462000.0,28755,74932.0,0.05083333333333334
New York,2005,2816426.0,43936450,3156023,19202847,21577580,45086872,27866708,11303872,1182179.0,3342778,2581772.0,218989.0,,,12.85718,153203.0,15054.332214076201,0.19699999999999998,19132610.0,58502,2784721000.0,41457,400551.0,0.05
North Carolina,2005,1347177.0,11098165,1116670,6440768,3540727,10917913,6160224,3039968,580213.0,791873,1289444.0,95664.0,,,14.80636,75010.0,7627.74479543121,0.21600000000000003,8705407.0,45042,1271985000.0,32238,343559.0,0.052416666666666674
North Dakota,2005,100413.0,969520,148482,341066,479972,985502,501563,258404,64839.0,88341,94823.0,8003.0,,,12.28077,7555.0,8775.8952047499,0.146,646089.0,41272,75836000.0,31521,12064.0,0.03374999999999999
Ohio,2005,1778784.0,19746239,1413888,8313858,10018493,19785561,9700668,6526386,830761.0,2046199,1719566.0,117982.0,,,15.59291,116702.0,9983.83652677478,0.19,11463320.0,44684,1327484000.0,32523,366970.0,0.059083333333333314
Oklahoma,2005,629145.0,4892548,678448,2440741,1773359,4785987,2303527,1569038,467321.0,397131,587188.0,41833.0,,,15.173160000000001,36227.0,7086.35668133545,0.21600000000000003,3548597.0,37662,168890000.0,31062,143285.0,0.04458333333333333
Oregon,2005,550502.0,5022050,498217,2440758,2083075,5597579,2671228,1680005,181133.0,364717,506638.0,28346.0,,,19.48049,32602.0,8799.236596939041,0.14800000000000002,3613202.0,42558,365347000.0,32421,158772.0,0.061833333333333344
Pennsylvania,2005,1755560.0,22657782,1750988,7667114,13239680,23183924,11284717,6638401,920319.0,1914407,1698795.0,122397.0,,,14.95694,124758.0,11014.3364726174,0.187,12449990.0,45035,1703295000.0,36247,279129.0,0.04966666666666666
Rhode Island,2005,153596.0,1903472,145957,747359,1010156,1790591,1023496,616544,74850.0,20070,143939.0,14180.0,,,10.81961,9881.0,12685.2378229667,0.162,1067916.0000000002,47176,113326000.0,36927,29118.0,0.05041666666666667
South Carolina,2005,701176.0,6337711,639308,2832245,2866158,6572191,3134658,1903030,342107.0,938347,639950.0,48212.0,,,14.551229999999999,33439.0,8301.803867489649,0.17800000000000002,4270150.0,37397,246935000.0,28958,184827.0,0.06716666666666668
South Dakota,2005,124862.0,1053504,176738,350316,526450,1059303,539413,316892,46872.0,124727,115148.0,9129.0,,,13.36532,8585.0,7959.8666064543,0.098,775493.0,42762,49142000.0,33772,12556.0,0.038000000000000006
Tennessee,2005,940769.0,6806262,787269,2962151,3056842,7067521,4120045,1907907,378064.0,483208,868129.0,59596.0,,,16.00658,47967.0,7425.959515233341,0.16,5991057.0,41868,805601000.0,31439,254836.0,0.055583333333333325
Texas,2005,4334611.0,37783715,4095588,13017433,20670694,40302144,18950703,10963041,1883727.0,5592231,4084792.0,302425.0,,,14.96369,239717.0,7814.13272719884,0.273,22778123.0,45966,,32793,989699.0,0.05408333333333332
Utah,2005,488055.0,3181279,326400,1729443,1125436,3188018,1632553,771298,241992.0,467720,464645.0,22993.0,,,22.112379999999998,30253.0,5653.82604138644,0.253,2457719.0,41657,188845000.0,28759,95002.0,0.04075
Vermont,2005,92819.0,1628681,95016,1090494,443171,1634534,739981,392627,36577.0,63280,93608.0,8851.0,,,10.91831,7152.0,12578.8205495257,0.355,621215.0,41588,68962000.0,34668,13895.0,0.034916666666666665
Virginia,2005,1203697.0,12182657,826830,4871813,6484014,12385157,6565022,3699703,510204.0,1180309,1133882.0,103944.0,,,11.67567,73667.0,9441.16084830697,0.171,7577105.0,52305,605959000.0,40319,198429.0,0.03575
Washington,2005,1019925.0,9141383,796450,5588494,2756439,9399603,4629347,2692637,428619.0,1292543,941238.0,53508.0,,,19.28656,61094.0,8362.36859009092,0.22699999999999998,6257305.0,51956,,37759,306271.0,0.05541666666666667
West Virginia,2005,279456.0,2701056,329159,1607433,764464,2698703,1524187,852145,174265.0,137026,271197.0,19940.0,,,14.085560000000001,17137.0,9320.77746066513,0.124,1820492.0000000002,33628,463249000.0,26593,44233.0,0.051000000000000004
Wisconsin,2005,869301.0,9584108,565072,4770290,4248746,9433502,5128207,2944041,382137.0,472358,831809.0,60127.0,,,14.555420000000002,63229.0,10140.980295957399,0.18899999999999997,5546166.0,45131,782742000.0,34173,144299.0,0.04716666666666666
Wyoming,2005,84146.0,1132160,106484,585789,439887,1033603,510498,324752,29657.0,158464,77878.0,6706.0,,,12.58709,5616.0,11086.8636457022,0.10300000000000001,514156.99999999994,57642,,38232,15814.0,0.035750000000000004
Alabama,2006,743265.0,6364028,730112,3540436,2093480,6591429,3326656,1983482,485936.0,666550,714197.0,,,,13.24744,37918.0,7979.6976450475095,0.134,4628981.0,37735,558768000.0,31315,140765.0,0.04066666666666668
Alaska,2006,132893.0,1625138,289855,918976,416307,1817656,871434,601197,58037.0,236931,122010.0,,,,16.77945,7361.0,12537.0436931399,0.122,675302.0,64349,821664000.0,40845,23100.0,0.06625
Arizona,2006,947266.0,8084068,963600,3635388,3485080,7934177,3733989,2436340,392902.0,1143569,933663.0,,,,20.29927,54091.0,7636.953966259771,0.195,6029141.0,44086,890004000.0,34705,259872.0,0.04225
Arkansas,2006,472609.0,4247664,482038,3108910,656716,4343877,2265821,1297593,211065.0,449548,435278.0,,,,13.577160000000001,28790.0,8748.45720665873,0.19,2821761.0,35803,368523000.0,29308,107692.0,0.05175
California,2006,6295994.0,66302860,7421482,37439651,21441727,68722432,32387671,19079354,3259244.0,10047331,6349270.0,,,,20.84404,343515.0,8416.10182083925,0.249,36021202.00000001,54842,10316467000.0,42334,1155956.0,0.049166666666666664
Colorado,2006,778842.0,7295561,520673,3087795,3687093,7803324,3562901,2518038,298896.0,1024225,712476.0,,,,16.903879999999997,44424.0,8938.25095722522,0.23399999999999999,4720423.0,51515,457673000.0,40143,159794.0,0.04308333333333333
Connecticut,2006,549744.0,8436197,388080,3148507,4899610,7982143,4406855,2354944,290868.0,603391,558423.0,,,,14.7028,36222.0,13461.166452671201,0.166,3517460.0,67458,634990000.0,54191,81452.0,0.04333333333333333
Delaware,2006,114371.0,1544615,109044,969809,465762,1646885,817872,467410,64658.0,227679,113986.0,,,,15.2095,7275.0,12330.1568175039,0.24100000000000002,859268.0,67857,295577000.0,41343,29669.0,0.035916666666666666
District of Columbia,2006,59616.0,1092863,127371,0,965492,1081887,478688,433933,39503.0,126807,59137.0,,,,13.53335,3150.0,17876.553798806202,,583841.0,164366,,57025,27064.0,0.05791666666666665
Florida,2006,2663973.0,25423686,2460004,10215772,12747910,26609155,12211602,7492039,1437303.0,4860930,2494778.0,,,,16.40465,134686.0,8376.427567102159,0.2,18166990.0,43926,2405863000.0,38738,720176.0,0.032416666666666656
Georgia,2006,1597682.0,16165924,1455212,7136011,7574701,15839227,8583817,4432252,708588.0,1930006,1499317.0,,,,14.34155,73498.0,9163.6812281859,0.24100000000000002,9155813.0,47013,890732000.0,34665,329729.0,0.04725000000000001
Hawaii,2006,182818.0,2705532,225393,2431735,48404,1939968,1077351,643718,143911.0,74988,168009.0,,,,16.034779999999998,10922.0,10746.5732192918,0.25,1309731.0,50631,148084000.0,38648,52165.0,0.026416666666666668
Idaho,2006,258314.0,1875346,201040,1046128,628178,1903720,1027985,557225,82623.0,189807,247009.0,,,,18.10291,16096.0,6861.39962916331,0.25,1468668.9999999998,36931,198302000.0,31357,34762.0,0.03475
Illinois,2006,2097585.0,22724326,1886721,7144629,13692976,22622323,11327481,7242674,818234.0,2021097,1871619.0,,,,15.024510000000001,126817.0,10282.492112978101,0.205,12643955.0,52486,2400270000.0,40124,166510.0,0.045666666666666654
Indiana,2006,1026106.0,11578988,740036,5380185,5458767,11260755,5348450,3313154,424213.0,985099,966967.0,,,,17.04985,57920.0,9557.70566006906,0.248,6332669.0,43279,1043873000.0,32747,196099.0,0.050833333333333335
Iowa,2006,483482.0,4898509,397290,2158255,2342964,4930613,2425326,1428006,215683.0,592789,477491.0,,,,13.550670000000002,33693.0,8459.61303144981,0.175,2982644.0,45908,284976000.0,34434,82353.0,0.037000000000000005
Kansas,2006,467279.0,4648920,340728,2640757,1667435,4439000,2378494,1345794,191458.0,358866,407812.0,,,,13.30158,29818.0,9905.09588241641,0.27,2762930.9999999995,43593,381259000.0,35353,102196.0,0.04391666666666666
Kentucky,2006,679621.0,6002056,680251,3439085,1882720,6112978,3082253,1830653,356721.0,686124,580937.0,,,,15.75135,38449.0,8974.50116277669,0.209,4219239.000000001,38856,1001619000.0,30440,95545.0,0.05733333333333335
Louisiana,2006,648313.0,6780668,1276913,2814302,2689453,6032182,3167501,1962367,338521.0,454736,648243.0,,,,16.6,33275.0,8568.20341600295,0.17,4302665.0,49164,506174000.0,33276,151653.0,0.04424999999999999
Maine,2006,195675.0,2381908,201447,947857,1232604,2381439,1376177,660506,101979.0,115871,180223.0,,,,11.528939999999999,12950.0,11759.920087891102,0.175,1323619.0,39288,188016000.0,34302,33286.0,0.045666666666666675
Maryland,2006,860021.0,10697117,663284,4189334,5844499,10585292,5535192,3217615,448422.0,1037525,800553.0,,,,14.57215,55536.0,11718.9156345676,0.18600000000000003,5627366.999999999,52697,846863000.0,45832,195476.0,0.03866666666666667
Massachusetts,2006,949951.0,14160242,749362,6175593,7235287,13503621,7613569,3989906,413514.0,904979,930151.0,,,,13.24085,61272.0,12629.1430778444,0.139,6410084.0,59706,1859109000.0,48307,151387.0,0.04891666666666666
Michigan,2006,1714416.0,19714584,1524718,11172247,7017619,20626758,9400832,6627833,872945.0,1842154,1574023.0,,,,17.57149,102582.0,10598.3085533058,0.307,10036081.0,42206,1886168000.0,33638,321331.0,0.07008333333333334
Minnesota,2006,812040.0,9314477,558287,6368364,2387826,9671933,4818788,2317030,697359.0,1063443,787521.0,,,,16.2021,58898.0,9760.55024945367,0.29100000000000004,5163555.0,51598,1071884000.0,39407,154913.0,0.03991666666666667
Mississippi,2006,493952.0,4279581,856762,2108733,1314086,4066036,2096028,1244115,243110.0,413302,461112.0,,,,15.301720000000001,23848.0,7699.345729454019,0.22699999999999998,2904978.0,31513,316981000.0,27711,73528.0,0.06558333333333333
Missouri,2006,913765.0,8846493,740742,3830104,4275647,8654672,4483151,2619786,467463.0,758141,859441.0,,,,13.63062,58417.0,8834.21348527706,0.24100000000000002,5842704.000000001,42792,343689000.0,34144,223544.0,0.048666666666666664
Montana,2006,145259.0,1375638,190226,626958,558454,1377599,753664,442662,56642.0,97873,129948.0,,,,13.88902,10283.0,9652.78273617139,0.17,952692.0,36769,153675000.0,31809,24786.0,0.035083333333333334
Nebraska,2006,285547.0,3107061,301764,948001,1857296,2867250,1570629,805633,128776.0,280954,262805.0,,,,13.401370000000002,19764.0,10169.6276783166,0.147,1772693.0,47056,262296000.0,35512,56810.0,0.031333333333333345
Nevada,2006,412747.0,3691628,258814,2137351,1295463,4022979,1840698,1088646,119224.0,760380,383403.0,,,,18.54226,16455.0,7719.627384240601,0.156,2522658.0,54797,,39930,102036.0,0.04050000000000001
New Hampshire,2006,201044.0,2459051,130088,925677,1403286,2494247,1332640,696005,68406.0,201565,199952.0,,,,13.12098,13988.0,10698.1308664079,0.225,1308389.0,48857,542644000.0,43763,23079.0,0.03441666666666667
New Jersey,2006,1371155.0,23915685,982557,9540387,13392741,24177714,12309954,7892051,837293.0,2033738,1358562.0,,,,12.36721,90049.0,15361.8257436908,0.243,8661679.0,57666,2508428000.0,48360,198783.0,0.047333333333333324
