"location","indicator","Unit","Date","Value"
"Arkansas","Number of Property Crimes Known to Police","numbers","2009","109078"
"Arkansas","Number of Property Crimes Known to Police","numbers","2010","103820"
"Arkansas","Number of Property Crimes Known to Police","numbers","2011","110430"
"Arkansas","Number of Property Crimes Known to Police","numbers","2012","109389"
"Arkansas","Number of Property Crimes Known to Police","numbers","2013","106477"
"Arkansas","Number of Property Crimes Known to Police","numbers","2014","99018"
"Arkansas","Number of Property Crimes Known to Police","numbers","2015","18035"
"Arkansas","Number of Property Crimes Known to Police","numbers","2016","18764"
"California","Number of Property Crimes Known to Police","numbers","1990","1646365"
"California","Number of Property Crimes Known to Police","numbers","1991","1709764"
"California","Number of Property Crimes Known to Police","numbers","1992","1715360"
"California","Number of Property Crimes Known to Police","numbers","1993","1676961"
"California","Number of Property Crimes Known to Police","numbers","1994","1615051"
"California","Number of Property Crimes Known to Police","numbers","1995","1501720"
"California","Number of Property Crimes Known to Police","numbers","1996","1382800"
"California","Number of Property Crimes Known to Police","numbers","1997","1311157"
"California","Number of Property Crimes Known to Police","numbers","1998","1187933"
"California","Number of Property Crimes Known to Police","numbers","1999","1052784"
"California","Number of Property Crimes Known to Police","numbers","2000","1054010"
"California","Number of Property Crimes Known to Police","numbers","2001","1132810"
"California","Number of Property Crimes Known to Police","numbers","2002","1174687"
"California","Number of Property Crimes Known to Police","numbers","2003","1208962"
"California","Number of Property Crimes Known to Police","numbers","2004","1223227"
"California","Number of Property Crimes Known to Police","numbers","2005","1195379"
"California","Number of Property Crimes Known to Police","numbers","2006","1155956"
"California","Number of Property Crimes Known to Police","numbers","2007","1108606"
"California","Number of Property Crimes Known to Police","numbers","2008","1080744"
"California","Number of Property Crimes Known to Police","numbers","2009","1009433"
"California","Number of Property Crimes Known to Police","numbers","2010","981939"
"California","Number of Property Crimes Known to Police","numbers","2011","973822"
"California","Number of Property Crimes Known to Police","numbers","2012","1049465"
"California","Number of Property Crimes Known to Police","numbers","2013","1018907"
"California","Number of Property Crimes Known to Police","numbers","2014","947192"
"California","Number of Property Crimes Known to Police","numbers","2015","105500"
"California","Number of Property Crimes Known to Police","numbers","2016","103637"
"Colorado","Number of Property Crimes Known to Police","numbers","1990","181279"
"Colorado","Number of Property Crimes Known to Police","numbers","1991","185412"
"Colorado","Number of Property Crimes Known to Police","numbers","1992","178890"
"Colorado","Number of Property Crimes Known to Police","numbers","1993","173519"
"Colorado","Number of Property Crimes Known to Police","numbers","1994","171263"
"Colorado","Number of Property Crimes Known to Police","numbers","1995","177832"
"Colorado","Number of Property Crimes Known to Police","numbers","1996","172937"
"Colorado","Number of Property Crimes Known to Police","numbers","1997","162673"
"Colorado","Number of Property Crimes Known to Police","numbers","1998","151586"
"Colorado","Number of Property Crimes Known to Police","numbers","1999","144575"
"Colorado","Number of Property Crimes Known to Police","numbers","2000","145469"
"Colorado","Number of Property Crimes Known to Police","numbers","2001","155117"
"Colorado","Number of Property Crimes Known to Police","numbers","2002","165219"
"Colorado","Number of Property Crimes Known to Police","numbers","2003","165256"
"Colorado","Number of Property Crimes Known to Police","numbers","2004","172467"
"Colorado","Number of Property Crimes Known to Police","numbers","2005","182537"
"Colorado","Number of Property Crimes Known to Police","numbers","2006","159794"
"Colorado","Number of Property Crimes Known to Police","numbers","2007","141855"
"Colorado","Number of Property Crimes Known to Police","numbers","2008","135391"
"Colorado","Number of Property Crimes Known to Police","numbers","2009","134196"
"Colorado","Number of Property Crimes Known to Police","numbers","2010","135001"
"Colorado","Number of Property Crimes Known to Police","numbers","2011","132781"
"Colorado","Number of Property Crimes Known to Police","numbers","2012","139355"
"Colorado","Number of Property Crimes Known to Police","numbers","2013","139974"
"Colorado","Number of Property Crimes Known to Police","numbers","2014","135510"
"Colorado","Number of Property Crimes Known to Police","numbers","2015","17928"
"Colorado","Number of Property Crimes Known to Police","numbers","2016","19454"
"Connecticut","Number of Property Crimes Known to Police","numbers","1990","158571"
"Connecticut","Number of Property Crimes Known to Police","numbers","1991","157687"
"Connecticut","Number of Property Crimes Known to Police","numbers","1992","149554"
"Connecticut","Number of Property Crimes Known to Police","numbers","1993","137445"
"Connecticut","Number of Property Crimes Known to Police","numbers","1994","134056"
"Connecticut","Number of Property Crimes Known to Police","numbers","1995","133891"
"Connecticut","Number of Property Crimes Known to Police","numbers","1996","124924"
"Connecticut","Number of Property Crimes Known to Police","numbers","1997","117505"
"Connecticut","Number of Property Crimes Known to Police","numbers","1998","111980"
"Connecticut","Number of Property Crimes Known to Police","numbers","1999","99718"
"Connecticut","Number of Property Crimes Known to Police","numbers","2000","99162"
"Connecticut","Number of Property Crimes Known to Police","numbers","2001","95367"
"Connecticut","Number of Property Crimes Known to Police","numbers","2002","91923"
"Connecticut","Number of Property Crimes Known to Police","numbers","2003","85955"
"Connecticut","Number of Property Crimes Known to Police","numbers","2004","89898"
"Connecticut","Number of Property Crimes Known to Police","numbers","2005","83395"
"Connecticut","Number of Property Crimes Known to Police","numbers","2006","81452"
"Connecticut","Number of Property Crimes Known to Police","numbers","2007","82442"
"Connecticut","Number of Property Crimes Known to Police","numbers","2008","87210"
"Connecticut","Number of Property Crimes Known to Police","numbers","2009","82625"
"Connecticut","Number of Property Crimes Known to Police","numbers","2010","78259"
"Connecticut","Number of Property Crimes Known to Police","numbers","2011","77205"
"Connecticut","Number of Property Crimes Known to Police","numbers","2012","77169"
"Connecticut","Number of Property Crimes Known to Police","numbers","2013","71274"
"Connecticut","Number of Property Crimes Known to Police","numbers","2014","69070"
"Delaware","Number of Property Crimes Known to Police","numbers","1990","31105"
"Delaware","Number of Property Crimes Known to Police","numbers","1991","34923"
"Delaware","Number of Property Crimes Known to Police","numbers","1992","23237"
"Delaware","Number of Property Crimes Known to Police","numbers","1993","19432"
"Delaware","Number of Property Crimes Known to Police","numbers","1994","15897"
"Delaware","Number of Property Crimes Known to Police","numbers","1995","11256"
"Delaware","Number of Property Crimes Known to Police","numbers","1996","24934"
"Delaware","Number of Property Crimes Known to Police","numbers","1997","32640"
"Delaware","Number of Property Crimes Known to Police","numbers","1998","34410"
"Delaware","Number of Property Crimes Known to Police","numbers","1999","30922"
"Delaware","Number of Property Crimes Known to Police","numbers","2000","29553"
"Delaware","Number of Property Crimes Known to Police","numbers","2001","27727"
"Delaware","Number of Property Crimes Known to Police","numbers","2002","27349"
"Delaware","Number of Property Crimes Known to Police","numbers","2003","27942"
"Delaware","Number of Property Crimes Known to Police","numbers","2004","27256"
"Delaware","Number of Property Crimes Known to Police","numbers","2005","26599"
"Delaware","Number of Property Crimes Known to Police","numbers","2006","29669"
"Delaware","Number of Property Crimes Known to Police","numbers","2007","29216"
"Delaware","Number of Property Crimes Known to Police","numbers","2008","31385"
"Delaware","Number of Property Crimes Known to Police","numbers","2009","29685"
"Delaware","Number of Property Crimes Known to Police","numbers","2010","31078"
"Delaware","Number of Property Crimes Known to Police","numbers","2011","31163"
"Delaware","Number of Property Crimes Known to Police","numbers","2012","30707"
"Delaware","Number of Property Crimes Known to Police","numbers","2013","29001"
"Delaware","Number of Property Crimes Known to Police","numbers","2014","27900"
"Delaware","Number of Property Crimes Known to Police","numbers","2015","4480"
"Delaware","Number of Property Crimes Known to Police","numbers","2016","5485"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","1990","50514"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","1991","49722"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","1992","50502"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","1993","51091"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","1994","48009"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","1995","52697"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","1996","51188"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","1997","41341"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","1998","37222"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","1999","33420"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2000","32998"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2001","36564"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2002","36580"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2003","32696"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2004","26906"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2005","26129"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2006","27064"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2007","28922"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2008","30211"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2009","28495"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2010","28802"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2011","29654"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2012","30757"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2013","31097"
"District Of Columbia","Number of Property Crimes Known to Police","numbers","2014","34147"
"Florida","Number of Property Crimes Known to Police","numbers","1990","939782"
"Florida","Number of Property Crimes Known to Police","numbers","1991","921570"
"Florida","Number of Property Crimes Known to Police","numbers","1992","951357"
"Florida","Number of Property Crimes Known to Police","numbers","1993","952811"
"Florida","Number of Property Crimes Known to Police","numbers","1994","970867"
"Florida","Number of Property Crimes Known to Police","numbers","1995","925756"
"Florida","Number of Property Crimes Known to Police","numbers","1996","462767"
"Florida","Number of Property Crimes Known to Police","numbers","1997","905710"
"Florida","Number of Property Crimes Known to Police","numbers","1998","884397"
"Florida","Number of Property Crimes Known to Police","numbers","1999","803629"
"Florida","Number of Property Crimes Known to Police","numbers","2000","767667"
"Florida","Number of Property Crimes Known to Police","numbers","2001","781339"
"Florida","Number of Property Crimes Known to Police","numbers","2002","772250"
"Florida","Number of Property Crimes Known to Police","numbers","2003","757379"
"Florida","Number of Property Crimes Known to Police","numbers","2004","726784"
"Florida","Number of Property Crimes Known to Police","numbers","2005","710810"
"Florida","Number of Property Crimes Known to Police","numbers","2006","720176"
"Florida","Number of Property Crimes Known to Police","numbers","2007","744473"
"Florida","Number of Property Crimes Known to Police","numbers","2008","757913"
"Florida","Number of Property Crimes Known to Police","numbers","2009","712010"
"Florida","Number of Property Crimes Known to Police","numbers","2010","669035"
"Florida","Number of Property Crimes Known to Police","numbers","2011","671200"
"Florida","Number of Property Crimes Known to Police","numbers","2012","632988"
"Florida","Number of Property Crimes Known to Police","numbers","2013","607170"
"Florida","Number of Property Crimes Known to Police","numbers","2014","679446"
"Florida","Number of Property Crimes Known to Police","numbers","2015","218337"
