"location","indicator","Unit","Date","Value"
"Kansas","Number of Property Crimes Known to Police","numbers","1996","36401"
"Kansas","Number of Property Crimes Known to Police","numbers","1997","37113"
"Kansas","Number of Property Crimes Known to Police","numbers","1998","35074"
"Kansas","Number of Property Crimes Known to Police","numbers","1999","31292"
"Kansas","Number of Property Crimes Known to Police","numbers","2000","86199"
"Kansas","Number of Property Crimes Known to Police","numbers","2001","89770"
"Kansas","Number of Property Crimes Known to Police","numbers","2002","89732"
"Kansas","Number of Property Crimes Known to Police","numbers","2003","84632"
"Kansas","Number of Property Crimes Known to Police","numbers","2004","104853"
"Kansas","Number of Property Crimes Known to Police","numbers","2005","98343"
"Kansas","Number of Property Crimes Known to Police","numbers","2006","102196"
"Kansas","Number of Property Crimes Known to Police","numbers","2007","100303"
"Kansas","Number of Property Crimes Known to Police","numbers","2008","90842"
"Kansas","Number of Property Crimes Known to Police","numbers","2009","90930"
"Kansas","Number of Property Crimes Known to Police","numbers","2010","89109"
"Kansas","Number of Property Crimes Known to Police","numbers","2011","88655"
"Kansas","Number of Property Crimes Known to Police","numbers","2012","91066"
"Kansas","Number of Property Crimes Known to Police","numbers","2013","85704"
"Kansas","Number of Property Crimes Known to Police","numbers","2014","79431"
"Kansas","Number of Property Crimes Known to Police","numbers","2015","7834"
"Kansas","Number of Property Crimes Known to Police","numbers","2016","7159"
"Kentucky","Number of Property Crimes Known to Police","numbers","1990","106711"
"Kentucky","Number of Property Crimes Known to Police","numbers","1991","107999"
"Kentucky","Number of Property Crimes Known to Police","numbers","1992","104463"
"Kentucky","Number of Property Crimes Known to Police","numbers","1993","103412"
"Kentucky","Number of Property Crimes Known to Police","numbers","1994","107838"
"Kentucky","Number of Property Crimes Known to Police","numbers","1995","108164"
"Kentucky","Number of Property Crimes Known to Police","numbers","1996","53636"
"Kentucky","Number of Property Crimes Known to Police","numbers","1997","52558"
"Kentucky","Number of Property Crimes Known to Police","numbers","1998","52912"
"Kentucky","Number of Property Crimes Known to Police","numbers","1999","48829"
"Kentucky","Number of Property Crimes Known to Police","numbers","2000","45650"
"Kentucky","Number of Property Crimes Known to Police","numbers","2001","54357"
"Kentucky","Number of Property Crimes Known to Police","numbers","2002","55756"
"Kentucky","Number of Property Crimes Known to Police","numbers","2003","46917"
"Kentucky","Number of Property Crimes Known to Police","numbers","2004","94056"
"Kentucky","Number of Property Crimes Known to Police","numbers","2005","94308"
"Kentucky","Number of Property Crimes Known to Police","numbers","2006","95545"
"Kentucky","Number of Property Crimes Known to Police","numbers","2007","95834"
"Kentucky","Number of Property Crimes Known to Police","numbers","2008","108228"
"Kentucky","Number of Property Crimes Known to Police","numbers","2009","108914"
"Kentucky","Number of Property Crimes Known to Police","numbers","2010","111170"
"Kentucky","Number of Property Crimes Known to Police","numbers","2011","119037"
"Kentucky","Number of Property Crimes Known to Police","numbers","2012","112800"
"Kentucky","Number of Property Crimes Known to Police","numbers","2013","104448"
"Kentucky","Number of Property Crimes Known to Police","numbers","2014","99166"
"Kentucky","Number of Property Crimes Known to Police","numbers","2015","12335"
"Kentucky","Number of Property Crimes Known to Police","numbers","2016","12608"
"Louisiana","Number of Property Crimes Known to Police","numbers","1990","208252"
"Louisiana","Number of Property Crimes Known to Police","numbers","1991","201174"
"Louisiana","Number of Property Crimes Known to Police","numbers","1992","203175"
"Louisiana","Number of Property Crimes Known to Police","numbers","1993","218643"
"Louisiana","Number of Property Crimes Known to Police","numbers","1994","232078"
"Louisiana","Number of Property Crimes Known to Police","numbers","1995","235539"
"Louisiana","Number of Property Crimes Known to Police","numbers","1996","241287"
"Louisiana","Number of Property Crimes Known to Police","numbers","1997","225531"
"Louisiana","Number of Property Crimes Known to Police","numbers","1998","220672"
"Louisiana","Number of Property Crimes Known to Police","numbers","1999","211268"
"Louisiana","Number of Property Crimes Known to Police","numbers","2000","199945"
"Louisiana","Number of Property Crimes Known to Police","numbers","2001","197321"
"Louisiana","Number of Property Crimes Known to Police","numbers","2002","184622"
"Louisiana","Number of Property Crimes Known to Police","numbers","2003","178515"
"Louisiana","Number of Property Crimes Known to Police","numbers","2004","183263"
"Louisiana","Number of Property Crimes Known to Police","numbers","2005","146088"
"Louisiana","Number of Property Crimes Known to Police","numbers","2006","151653"
"Louisiana","Number of Property Crimes Known to Police","numbers","2007","156823"
"Louisiana","Number of Property Crimes Known to Police","numbers","2008","160615"
"Louisiana","Number of Property Crimes Known to Police","numbers","2009","172619"
"Louisiana","Number of Property Crimes Known to Police","numbers","2010","165667"
"Louisiana","Number of Property Crimes Known to Police","numbers","2011","168529"
"Louisiana","Number of Property Crimes Known to Police","numbers","2012","162673"
"Louisiana","Number of Property Crimes Known to Police","numbers","2013","165679"
"Louisiana","Number of Property Crimes Known to Police","numbers","2014","160824"
"Louisiana","Number of Property Crimes Known to Police","numbers","2015","61032"
"Louisiana","Number of Property Crimes Known to Police","numbers","2016","59940"
"Maine","Number of Property Crimes Known to Police","numbers","1990","43638"
"Maine","Number of Property Crimes Known to Police","numbers","1991","44381"
"Maine","Number of Property Crimes Known to Police","numbers","1992","40809"
"Maine","Number of Property Crimes Known to Police","numbers","1993","37430"
"Maine","Number of Property Crimes Known to Police","numbers","1994","38753"
"Maine","Number of Property Crimes Known to Police","numbers","1995","39100"
"Maine","Number of Property Crimes Known to Police","numbers","1996","40428"
"Maine","Number of Property Crimes Known to Police","numbers","1997","37217"
"Maine","Number of Property Crimes Known to Police","numbers","1998","36137"
"Maine","Number of Property Crimes Known to Police","numbers","1999","34217"
"Maine","Number of Property Crimes Known to Police","numbers","2000","31880"
"Maine","Number of Property Crimes Known to Police","numbers","2001","33055"
"Maine","Number of Property Crimes Known to Police","numbers","2002","32889"
"Maine","Number of Property Crimes Known to Police","numbers","2003","32055"
"Maine","Number of Property Crimes Known to Police","numbers","2004","31745"
"Maine","Number of Property Crimes Known to Police","numbers","2005","31651"
"Maine","Number of Property Crimes Known to Police","numbers","2006","33286"
"Maine","Number of Property Crimes Known to Police","numbers","2007","32018"
"Maine","Number of Property Crimes Known to Police","numbers","2008","32433"
"Maine","Number of Property Crimes Known to Police","numbers","2009","31706"
"Maine","Number of Property Crimes Known to Police","numbers","2010","32900"
"Maine","Number of Property Crimes Known to Police","numbers","2011","33829"
"Maine","Number of Property Crimes Known to Police","numbers","2012","33398"
"Maine","Number of Property Crimes Known to Police","numbers","2013","30454"
"Maine","Number of Property Crimes Known to Police","numbers","2014","26421"
"Maine","Number of Property Crimes Known to Police","numbers","2015","3622"
"Maine","Number of Property Crimes Known to Police","numbers","2016","3284"
"Maryland","Number of Property Crimes Known to Police","numbers","1990","234815"
"Maryland","Number of Property Crimes Known to Police","numbers","1991","255289"
"Maryland","Number of Property Crimes Known to Police","numbers","1992","256374"
"Maryland","Number of Property Crimes Known to Police","numbers","1993","253603"
"Maryland","Number of Property Crimes Known to Police","numbers","1994","258988"
"Maryland","Number of Property Crimes Known to Police","numbers","1995","267571"
"Maryland","Number of Property Crimes Known to Police","numbers","1996","260080"
"Maryland","Number of Property Crimes Known to Police","numbers","1997","244528"
"Maryland","Number of Property Crimes Known to Police","numbers","1998","233518"
"Maryland","Number of Property Crimes Known to Police","numbers","1999","163428"
"Maryland","Number of Property Crimes Known to Police","numbers","2000","214440"
"Maryland","Number of Property Crimes Known to Police","numbers","2001","223650"
"Maryland","Number of Property Crimes Known to Police","numbers","2002","219657"
"Maryland","Number of Property Crimes Known to Police","numbers","2003","209418"
"Maryland","Number of Property Crimes Known to Police","numbers","2004","202326"
"Maryland","Number of Property Crimes Known to Police","numbers","2005","198474"
"Maryland","Number of Property Crimes Known to Police","numbers","2006","195476"
"Maryland","Number of Property Crimes Known to Police","numbers","2007","192796"
"Maryland","Number of Property Crimes Known to Police","numbers","2008","198165"
"Maryland","Number of Property Crimes Known to Police","numbers","2009","182295"
"Maryland","Number of Property Crimes Known to Police","numbers","2010","173309"
"Maryland","Number of Property Crimes Known to Police","numbers","2011","166846"
"Maryland","Number of Property Crimes Known to Police","numbers","2012","162309"
"Maryland","Number of Property Crimes Known to Police","numbers","2013","157918"
"Maryland","Number of Property Crimes Known to Police","numbers","2014","149859"
"Maryland","Number of Property Crimes Known to Police","numbers","2015","51629"
"Maryland","Number of Property Crimes Known to Police","numbers","2016","70526"
"Massachusetts","Number of Property Crimes Known to Police","numbers","1990","203948"
"Massachusetts","Number of Property Crimes Known to Police","numbers","1991","202580"
"Massachusetts","Number of Property Crimes Known to Police","numbers","1992","204465"
"Massachusetts","Number of Property Crimes Known to Police","numbers","1993","206331"
"Massachusetts","Number of Property Crimes Known to Police","numbers","1994","198694"
"Massachusetts","Number of Property Crimes Known to Police","numbers","1995","198657"
"Massachusetts","Number of Property Crimes Known to Police","numbers","1996","187564"
"Massachusetts","Number of Property Crimes Known to Police","numbers","1997","179610"
"Massachusetts","Number of Property Crimes Known to Police","numbers","1998","164995"
"Massachusetts","Number of Property Crimes Known to Police","numbers","1999","162383"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2000","158753"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2001","162860"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2002","161617"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2003","159697"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2004","153442"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2005","146847"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2006","151387"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2007","152439"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2008","154174"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2009","153178"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2010","154496"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2011","148829"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2012","143325"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2013","137274"
"Massachusetts","Number of Property Crimes Known to Police","numbers","2014","125267"
"Michigan","Number of Property Crimes Known to Police","numbers","1990","472773"
"Michigan","Number of Property Crimes Known to Police","numbers","1991","489495"
"Michigan","Number of Property Crimes Known to Police","numbers","1992","448115"
"Michigan","Number of Property Crimes Known to Police","numbers","1993","427264"
"Michigan","Number of Property Crimes Known to Police","numbers","1994","408816"
"Michigan","Number of Property Crimes Known to Police","numbers","1995","395455"
"Michigan","Number of Property Crimes Known to Police","numbers","1996","386371"
"Michigan","Number of Property Crimes Known to Police","numbers","1997","382870"
"Michigan","Number of Property Crimes Known to Police","numbers","1998","390398"
"Michigan","Number of Property Crimes Known to Police","numbers","1999","351508"
"Michigan","Number of Property Crimes Known to Police","numbers","2000","343233"
"Michigan","Number of Property Crimes Known to Police","numbers","2001","346487"
"Michigan","Number of Property Crimes Known to Police","numbers","2002","330493"
"Michigan","Number of Property Crimes Known to Police","numbers","2003","325465"
"Michigan","Number of Property Crimes Known to Police","numbers","2004","305434"
"Michigan","Number of Property Crimes Known to Police","numbers","2005","308250"
"Michigan","Number of Property Crimes Known to Police","numbers","2006","321331"
"Michigan","Number of Property Crimes Known to Police","numbers","2007","302975"
"Michigan","Number of Property Crimes Known to Police","numbers","2008","290330"
"Michigan","Number of Property Crimes Known to Police","numbers","2009","284019"
"Michigan","Number of Property Crimes Known to Police","numbers","2010","271501"
"Michigan","Number of Property Crimes Known to Police","numbers","2011","251329"
"Michigan","Number of Property Crimes Known to Police","numbers","2012","249249"
"Michigan","Number of Property Crimes Known to Police","numbers","2013","230135"
"Michigan","Number of Property Crimes Known to Police","numbers","2014","202547"
"Michigan","Number of Property Crimes Known to Police","numbers","2015","28931"
"Michigan","Number of Property Crimes Known to Police","numbers","2016","29110"
"Minnesota","Number of Property Crimes Known to Police","numbers","1990","151174"
"Minnesota","Number of Property Crimes Known to Police","numbers","1991","185252"
"Minnesota","Number of Property Crimes Known to Police","numbers","1992","189702"
"Minnesota","Number of Property Crimes Known to Police","numbers","1993","182241"
"Minnesota","Number of Property Crimes Known to Police","numbers","1994","179682"
"Minnesota","Number of Property Crimes Known to Police","numbers","1995","188738"
"Minnesota","Number of Property Crimes Known to Police","numbers","1996","191760"
"Minnesota","Number of Property Crimes Known to Police","numbers","1997","190756"
"Minnesota","Number of Property Crimes Known to Police","numbers","1998","175555"
"Minnesota","Number of Property Crimes Known to Police","numbers","1999","156921"
"Minnesota","Number of Property Crimes Known to Police","numbers","2000","155293"
"Minnesota","Number of Property Crimes Known to Police","numbers","2001","158537"
"Minnesota","Number of Property Crimes Known to Police","numbers","2002","163021"
"Minnesota","Number of Property Crimes Known to Police","numbers","2003","147412"
"Minnesota","Number of Property Crimes Known to Police","numbers","2004","154552"
"Minnesota","Number of Property Crimes Known to Police","numbers","2005","156024"
"Minnesota","Number of Property Crimes Known to Police","numbers","2006","154913"
"Minnesota","Number of Property Crimes Known to Police","numbers","2007","152054"
"Minnesota","Number of Property Crimes Known to Police","numbers","2008","146725"
"Minnesota","Number of Property Crimes Known to Police","numbers","2009","139286"
"Minnesota","Number of Property Crimes Known to Police","numbers","2010","136431"
"Minnesota","Number of Property Crimes Known to Police","numbers","2011","136183"
"Minnesota","Number of Property Crimes Known to Police","numbers","2012","138152"
"Minnesota","Number of Property Crimes Known to Police","numbers","2013","131193"
"Minnesota","Number of Property Crimes Known to Police","numbers","2014","125377"
"Minnesota","Number of Property Crimes Known to Police","numbers","2015","16336"
"Minnesota","Number of Property Crimes Known to Police","numbers","2016","14973"
"Mississippi","Number of Property Crimes Known to Police","numbers","1990","65577"
"Mississippi","Number of Property Crimes Known to Police","numbers","1991","69788"
"Mississippi","Number of Property Crimes Known to Police","numbers","1992","70689"
"Mississippi","Number of Property Crimes Known to Police","numbers","1993","72088"
"Mississippi","Number of Property Crimes Known to Police","numbers","1994","77482"
"Mississippi","Number of Property Crimes Known to Police","numbers","1995","71575"
"Mississippi","Number of Property Crimes Known to Police","numbers","1996","76252"
"Mississippi","Number of Property Crimes Known to Police","numbers","1997","75832"
"Mississippi","Number of Property Crimes Known to Police","numbers","1998","76854"
"Mississippi","Number of Property Crimes Known to Police","numbers","1999","82322"
"Mississippi","Number of Property Crimes Known to Police","numbers","2000","84888"
"Mississippi","Number of Property Crimes Known to Police","numbers","2001","85793"
"Mississippi","Number of Property Crimes Known to Police","numbers","2002","82958"
"Mississippi","Number of Property Crimes Known to Police","numbers","2003","81784"
"Mississippi","Number of Property Crimes Known to Police","numbers","2004","80936"
"Mississippi","Number of Property Crimes Known to Police","numbers","2005","75061"
"Mississippi","Number of Property Crimes Known to Police","numbers","2006","73528"
"Mississippi","Number of Property Crimes Known to Police","numbers","2007","67672"
"Mississippi","Number of Property Crimes Known to Police","numbers","2008","68887"
"Mississippi","Number of Property Crimes Known to Police","numbers","2009","87327"
"Mississippi","Number of Property Crimes Known to Police","numbers","2010","88596"
"Mississippi","Number of Property Crimes Known to Police","numbers","2011","89809"
"Mississippi","Number of Property Crimes Known to Police","numbers","2012","83933"
"Mississippi","Number of Property Crimes Known to Police","numbers","2013","81548"
"Mississippi","Number of Property Crimes Known to Police","numbers","2014","87462"
"Mississippi","Number of Property Crimes Known to Police","numbers","2015","9690"
"Mississippi","Number of Property Crimes Known to Police","numbers","2016","10474"
"Missouri","Number of Property Crimes Known to Police","numbers","1990","213766"
"Missouri","Number of Property Crimes Known to Police","numbers","1991","220229"
"Missouri","Number of Property Crimes Known to Police","numbers","1992","212858"
"Missouri","Number of Property Crimes Known to Police","numbers","1993","214787"
"Missouri","Number of Property Crimes Known to Police","numbers","1994","226692"
"Missouri","Number of Property Crimes Known to Police","numbers","1995","222833"
"Missouri","Number of Property Crimes Known to Police","numbers","1996","223173"
"Missouri","Number of Property Crimes Known to Police","numbers","1997","214898"
"Missouri","Number of Property Crimes Known to Police","numbers","1998","217354"
"Missouri","Number of Property Crimes Known to Police","numbers","1999","209298"
"Missouri","Number of Property Crimes Known to Police","numbers","2000","208785"
"Missouri","Number of Property Crimes Known to Police","numbers","2001","224735"
"Missouri","Number of Property Crimes Known to Police","numbers","2002","228903"
"Missouri","Number of Property Crimes Known to Police","numbers","2003","233322"
"Missouri","Number of Property Crimes Known to Police","numbers","2004","223511"
"Missouri","Number of Property Crimes Known to Police","numbers","2005","226720"
"Missouri","Number of Property Crimes Known to Police","numbers","2006","223544"
"Missouri","Number of Property Crimes Known to Police","numbers","2007","224731"
"Missouri","Number of Property Crimes Known to Police","numbers","2008","216112"
"Missouri","Number of Property Crimes Known to Police","numbers","2009","201783"
"Missouri","Number of Property Crimes Known to Police","numbers","2010","200858"
"Missouri","Number of Property Crimes Known to Police","numbers","2011","199085"
"Missouri","Number of Property Crimes Known to Police","numbers","2012","199813"
"Missouri","Number of Property Crimes Known to Police","numbers","2013","189655"
"Missouri","Number of Property Crimes Known to Police","numbers","2014","176237"
"Missouri","Number of Property Crimes Known to Police","numbers","2015","30880"
"Missouri","Number of Property Crimes Known to Police","numbers","2016","30276"
"Montana","Number of Property Crimes Known to Police","numbers","1990","30750"
"Montana","Number of Property Crimes Known to Police","numbers","1991","19714"
"Montana","Number of Property Crimes Known to Police","numbers","1992","31413"
"Montana","Number of Property Crimes Known to Police","numbers","1993","11871"
"Montana","Number of Property Crimes Known to Police","numbers","1994","0"
"Montana","Number of Property Crimes Known to Police","numbers","1995","6505"
"Montana","Number of Property Crimes Known to Police","numbers","1996","0"
"Montana","Number of Property Crimes Known to Police","numbers","1997","23711"
"Montana","Number of Property Crimes Known to Police","numbers","1998","17162"
"Montana","Number of Property Crimes Known to Police","numbers","1999","17700"
"Montana","Number of Property Crimes Known to Police","numbers","2000","16894"
"Montana","Number of Property Crimes Known to Police","numbers","2001","18810"
"Montana","Number of Property Crimes Known to Police","numbers","2002","20612"
"Montana","Number of Property Crimes Known to Police","numbers","2003","19965"
"Montana","Number of Property Crimes Known to Police","numbers","2004","22015"
"Montana","Number of Property Crimes Known to Police","numbers","2005","26997"
"Montana","Number of Property Crimes Known to Police","numbers","2006","24786"
"Montana","Number of Property Crimes Known to Police","numbers","2007","25893"
"Montana","Number of Property Crimes Known to Police","numbers","2008","25747"
"Montana","Number of Property Crimes Known to Police","numbers","2009","24826"
"Montana","Number of Property Crimes Known to Police","numbers","2010","25409"
"Montana","Number of Property Crimes Known to Police","numbers","2011","23885"
"Montana","Number of Property Crimes Known to Police","numbers","2012","26102"
"Montana","Number of Property Crimes Known to Police","numbers","2013","26195"
"Montana","Number of Property Crimes Known to Police","numbers","2014","25312"
"Montana","Number of Property Crimes Known to Police","numbers","2015","7583"
"Montana","Number of Property Crimes Known to Police","numbers","2016","7953"
"Nebraska","Number of Property Crimes Known to Police","numbers","1990","60655"
"Nebraska","Number of Property Crimes Known to Police","numbers","1991","63908"
"Nebraska","Number of Property Crimes Known to Police","numbers","1992","57217"
"Nebraska","Number of Property Crimes Known to Police","numbers","1993","60745"
"Nebraska","Number of Property Crimes Known to Police","numbers","1994","65251"
"Nebraska","Number of Property Crimes Known to Police","numbers","1995","66974"
"Nebraska","Number of Property Crimes Known to Police","numbers","1996","64803"
"Nebraska","Number of Property Crimes Known to Police","numbers","1997","62437"
"Nebraska","Number of Property Crimes Known to Police","numbers","1998","64078"
"Nebraska","Number of Property Crimes Known to Police","numbers","1999","60019"
"Nebraska","Number of Property Crimes Known to Police","numbers","2000","62336"
"Nebraska","Number of Property Crimes Known to Police","numbers","2001","65180"
"Nebraska","Number of Property Crimes Known to Police","numbers","2002","65586"
"Nebraska","Number of Property Crimes Known to Police","numbers","2003","63408"
"Nebraska","Number of Property Crimes Known to Police","numbers","2004","60177"
"Nebraska","Number of Property Crimes Known to Police","numbers","2005","58206"
"Nebraska","Number of Property Crimes Known to Police","numbers","2006","56810"
"Nebraska","Number of Property Crimes Known to Police","numbers","2007","53752"
"Nebraska","Number of Property Crimes Known to Police","numbers","2008","49289"
"Nebraska","Number of Property Crimes Known to Police","numbers","2009","49731"
"Nebraska","Number of Property Crimes Known to Police","numbers","2010","48827"
"Nebraska","Number of Property Crimes Known to Police","numbers","2011","50894"
"Nebraska","Number of Property Crimes Known to Police","numbers","2012","51203"
"Nebraska","Number of Property Crimes Known to Police","numbers","2013","49197"
"Nebraska","Number of Property Crimes Known to Police","numbers","2014","47479"
"Nebraska","Number of Property Crimes Known to Police","numbers","2015","4266"
"Nebraska","Number of Property Crimes Known to Police","numbers","2016","4230"
"Nevada","Number of Property Crimes Known to Police","numbers","1990","60913"
"Nevada","Number of Property Crimes Known to Police","numbers","1991","66204"
"Nevada","Number of Property Crimes Known to Police","numbers","1992","67525"
"Nevada","Number of Property Crimes Known to Police","numbers","1993","67811"
"Nevada","Number of Property Crimes Known to Police","numbers","1994","81803"
"Nevada","Number of Property Crimes Known to Police","numbers","1995","84998"
"Nevada","Number of Property Crimes Known to Police","numbers","1996","82876"
"Nevada","Number of Property Crimes Known to Police","numbers","1997","79783"
"Nevada","Number of Property Crimes Known to Police","numbers","1998","81006"
"Nevada","Number of Property Crimes Known to Police","numbers","1999","73874"
"Nevada","Number of Property Crimes Known to Police","numbers","2000","74823"
"Nevada","Number of Property Crimes Known to Police","numbers","2001","77485"
"Nevada","Number of Property Crimes Known to Police","numbers","2002","83904"
"Nevada","Number of Property Crimes Known to Police","numbers","2003","96128"
"Nevada","Number of Property Crimes Known to Police","numbers","2004","98214"
"Nevada","Number of Property Crimes Known to Police","numbers","2005","102289"
"Nevada","Number of Property Crimes Known to Police","numbers","2006","102036"
"Nevada","Number of Property Crimes Known to Police","numbers","2007","96916"
"Nevada","Number of Property Crimes Known to Police","numbers","2008","89873"
"Nevada","Number of Property Crimes Known to Police","numbers","2009","80976"
"Nevada","Number of Property Crimes Known to Police","numbers","2010","75004"
"Nevada","Number of Property Crimes Known to Police","numbers","2011","70075"
"Nevada","Number of Property Crimes Known to Police","numbers","2012","77510"
"Nevada","Number of Property Crimes Known to Police","numbers","2013","79177"
"Nevada","Number of Property Crimes Known to Police","numbers","2014","74538"
"Nevada","Number of Property Crimes Known to Police","numbers","2015","5149"
"Nevada","Number of Property Crimes Known to Police","numbers","2016","4877"
"New Hampshire","Number of Property Crimes Known to Police","numbers","1990","37638"
"New Hampshire","Number of Property Crimes Known to Police","numbers","1991","34611"
"New Hampshire","Number of Property Crimes Known to Police","numbers","1992","30307"
"New Hampshire","Number of Property Crimes Known to Police","numbers","1993","27882"
"New Hampshire","Number of Property Crimes Known to Police","numbers","1994","25889"
"New Hampshire","Number of Property Crimes Known to Police","numbers","1995","22541"
"New Hampshire","Number of Property Crimes Known to Police","numbers","1996","25918"
"New Hampshire","Number of Property Crimes Known to Police","numbers","1997","4694"
"New Hampshire","Number of Property Crimes Known to Police","numbers","1998","12002"
"New Hampshire","Number of Property Crimes Known to Police","numbers","1999","12500"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2000","16151"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2001","16026"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2002","18909"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2003","18271"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2004","19872"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2005","20832"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2006","23079"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2007","22180"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2008","25454"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2009","28790"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2010","29230"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2011","32756"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2012","32074"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2013","29278"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2014","26041"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2015","77"
"New Hampshire","Number of Property Crimes Known to Police","numbers","2016","96"
"New Jersey","Number of Property Crimes Known to Police","numbers","1990","371023"
"New Jersey","Number of Property Crimes Known to Police","numbers","1991","372320"
"New Jersey","Number of Property Crimes Known to Police","numbers","1992","345729"
"New Jersey","Number of Property Crimes Known to Police","numbers","1993","328867"
"New Jersey","Number of Property Crimes Known to Police","numbers","1994","319845"
"New Jersey","Number of Property Crimes Known to Police","numbers","1995","326022"
"New Jersey","Number of Property Crimes Known to Police","numbers","1996","303643"
"New Jersey","Number of Property Crimes Known to Police","numbers","1997","287038"
"New Jersey","Number of Property Crimes Known to Police","numbers","1998","260835"
"New Jersey","Number of Property Crimes Known to Police","numbers","1999","243461"
"New Jersey","Number of Property Crimes Known to Police","numbers","2000","233637"
"New Jersey","Number of Property Crimes Known to Police","numbers","2001","240277"
"New Jersey","Number of Property Crimes Known to Police","numbers","2002","227384"
"New Jersey","Number of Property Crimes Known to Police","numbers","2003","219944"
"New Jersey","Number of Property Crimes Known to Police","numbers","2004","211526"
"New Jersey","Number of Property Crimes Known to Police","numbers","2005","203393"
"New Jersey","Number of Property Crimes Known to Police","numbers","2006","198783"
"New Jersey","Number of Property Crimes Known to Police","numbers","2007","192265"
"New Jersey","Number of Property Crimes Known to Police","numbers","2008","199028"
"New Jersey","Number of Property Crimes Known to Police","numbers","2009","180752"
"New Jersey","Number of Property Crimes Known to Police","numbers","2010","183042"
"New Jersey","Number of Property Crimes Known to Police","numbers","2011","189719"
"New Jersey","Number of Property Crimes Known to Police","numbers","2012","181481"
"New Jersey","Number of Property Crimes Known to Police","numbers","2013","167634"
"New Jersey","Number of Property Crimes Known to Police","numbers","2014","154993"
"New Jersey","Number of Property Crimes Known to Police","numbers","2015","2943"
"New Jersey","Number of Property Crimes Known to Police","numbers","2016","2832"
"New Mexico","Number of Property Crimes Known to Police","numbers","1990","69454"
"New Mexico","Number of Property Crimes Known to Police","numbers","1991","68632"
"New Mexico","Number of Property Crimes Known to Police","numbers","1992","63961"
"New Mexico","Number of Property Crimes Known to Police","numbers","1993","59499"
"New Mexico","Number of Property Crimes Known to Police","numbers","1994","69559"
"New Mexico","Number of Property Crimes Known to Police","numbers","1995","74337"
"New Mexico","Number of Property Crimes Known to Police","numbers","1996","82042"
"New Mexico","Number of Property Crimes Known to Police","numbers","1997","87256"
"New Mexico","Number of Property Crimes Known to Police","numbers","1998","86037"
"New Mexico","Number of Property Crimes Known to Police","numbers","1999","79867"
"New Mexico","Number of Property Crimes Known to Police","numbers","2000","78964"
"New Mexico","Number of Property Crimes Known to Police","numbers","2001","75983"
"New Mexico","Number of Property Crimes Known to Police","numbers","2002","72907"
"New Mexico","Number of Property Crimes Known to Police","numbers","2003","70582"
"New Mexico","Number of Property Crimes Known to Police","numbers","2004","73630"
"New Mexico","Number of Property Crimes Known to Police","numbers","2005","74932"
"New Mexico","Number of Property Crimes Known to Police","numbers","2006","71457"
"New Mexico","Number of Property Crimes Known to Police","numbers","2007","69483"
"New Mexico","Number of Property Crimes Known to Police","numbers","2008","74680"
"New Mexico","Number of Property Crimes Known to Police","numbers","2009","74639"
"New Mexico","Number of Property Crimes Known to Police","numbers","2010","70776"
"New Mexico","Number of Property Crimes Known to Police","numbers","2011","73549"
"New Mexico","Number of Property Crimes Known to Police","numbers","2012","75094"
"New Mexico","Number of Property Crimes Known to Police","numbers","2013","78958"
"New Mexico","Number of Property Crimes Known to Police","numbers","2014","73877"
"New Mexico","Number of Property Crimes Known to Police","numbers","2015","7169"
"New Mexico","Number of Property Crimes Known to Police","numbers","2016","8195"
"New York","Number of Property Crimes Known to Police","numbers","1990","925941"
"New York","Number of Property Crimes Known to Police","numbers","1991","910274"
"New York","Number of Property Crimes Known to Police","numbers","1992","849609"
"New York","Number of Property Crimes Known to Police","numbers","1993","807165"
"New York","Number of Property Crimes Known to Police","numbers","1994","718911"
