"region","series","Unit","Date","Value"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2001","541174"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2002","346280"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2003","389406"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2004","525650"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2005","701859"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2006","890004"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2007","986170"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2008","784511"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2009","592187"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2010","413193"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2011","560236"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2012","647809"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2013","662026"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2014","575180"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2015","690960"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2016","570548"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1992","125525"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1993","153926"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1994","184281"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1995","191600"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1996","228801"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1997","229982"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1998","252870"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1999","212206"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2000","236969"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2001","202345"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2002","176874"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2003","176875"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2004","181830"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2005","277311"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2006","368523"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2007","362983"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2008","342529"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2009","346215"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2010","385365"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2011","376874"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2012","404083"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2013","402874"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2014","398493"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2015","476553"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2016","450159"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1992","4518418"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1993","4727879"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1994","4633449"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1995","5747929"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1996","5831072"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1997","5803652"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1998","5587671"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1999","5459199"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2000","6638762"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2001","6899302"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2002","5333036"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2003","6803559"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2004","6925916"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2005","8670065"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2006","10316467"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2007","11157898"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2008","11849097"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2009","9535679"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2010","9114589"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2011","9613594"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2012","7949000"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2013","7462000"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2014","8858498"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2015","9007182"
"California","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2016","9902185"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1992","123458"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1993","137748"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1994","146042"
"Colorado","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1995","190026"
