"classification","state","component","industry","Unit","Date","Value"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","48618"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","47842"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","47265"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","48388"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","48504"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","48652"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","48871"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","49544"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","50781"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","51411"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","49643"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","50347"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","51571"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","53701"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","54000"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","54842"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","55897"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","56261"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","56768"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","57666"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","57860"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","57784"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","55067"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","55023"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","54302"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","55161"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","55750"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","55677"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","56241"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","56565"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","49045"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","50064"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","52368"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","53827"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","55375"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","55039"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","54756"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","56259"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","58502"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","59961"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","60018"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","58532"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","59481"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","61267"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","61185"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","62841"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","62444"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","63372"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","64573"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","64810"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","38759"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","39924"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","41016"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","41857"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","42458"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","42756"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","43553"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","44585"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","45035"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","45021"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","46330"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","46862"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","45312"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","46387"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","46872"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","47540"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","48278"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","49214"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","50357"
"NAICS","Pennsylvania","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","50665"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","38025"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","39140"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","40034"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","41395"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","41989"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","43041"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","44625"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","46310"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","47176"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","48259"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","47137"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","45746"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","45280"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","46332"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","46010"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","46188"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","46356"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","46723"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","47541"
"NAICS","Rhode Island","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","47739"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","32725"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","33514"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","35087"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","36622"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","37618"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","38541"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","39886"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","41165"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","41588"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","41754"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","41472"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","41764"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","40855"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","42170"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","43124"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","43042"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","42914"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","43120"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","43571"
"NAICS","Vermont","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","43984"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","45435"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","46319"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","47665"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","49145"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","48849"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","48918"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","49495"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","50479"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","51237"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","52486"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","52856"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","51406"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","49859"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","50304"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","51198"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","52172"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","51963"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","52966"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","53729"
"NAICS","Illinois","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","54404"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","37285"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","39273"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","40222"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","41205"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","40138"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","40969"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","42099"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","43143"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","42826"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","43279"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","44145"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","43515"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","40572"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","42996"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","43058"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","43064"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","43866"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","44784"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","45012"
"NAICS","Indiana","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","45977"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","37319"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","37386"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","37971"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","39747"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","38988"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","40072"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","41665"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","44605"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","45554"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","45908"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","47504"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","46413"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","45195"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","45884"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","46523"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","48001"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","48002"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","49566"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","51305"
"NAICS","Iowa","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","51912"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","37497"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","38467"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","39206"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","39923"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","39745"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","40169"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","40944"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","40748"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","41736"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","43593"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","45313"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","46050"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","43770"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","44243"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","45476"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","45514"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","45470"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","46269"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","46658"
"NAICS","Kansas","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","46217"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","39408"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","39834"
"NAICS","Michigan","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","41764"
